DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,Contig edge
Bacillus amyloliquefaciens|LJAU01000018|c1,-1
Bacillus amyloliquefaciens|CYHP01000031|c1,-1
Bacillus amyloliquefaciens|LJDI01000033|c1,-1
Bacillus amyloliquefaciens|JZDI01000001|c1,-1
Bacillus velezensis|JXAM01000039|c1,-1
Bacillus sp BH072|CP009938|c8,-1
Bacillus velezensis|JYGH01000014|c4,-1
Bacillus velezensis|LJJY01000001|c3,-1
Bacillus sp 916|AFSU01000076|c1,-1
Bacillus amyloliquefaciens EBL11|JCOC01000014|c1,-1
Bacillus subtilis|CP009684|c8,-1
Bacillus velezensis UCMB5036|HF563562|c5,-1
Bacillus velezensis YAU B9601-Y2|HE774679|c6,-1
Bacillus subtilis|CP009611|c5,-1
Bacillus velezensis AS433|CP003838|c6,-1
Bacillus amyloliquefaciens CC178|CP006845|c6,-1
Bacillus amyloliquefaciens EGD-AQ14|AVQH01000001|c3,-1
Bacillus velezensis SQR9|CP006890|c6,-1
Bacillus amyloliquefaciens|CP011278|c5,-1
Bacillus amyloliquefaciens|CP010556|c5,-1
Bacillus amyloliquefaciens IT-45|CP004065|c8,-1
Bacillus subtilis|JPYY01000002|c2,-1
Bacillus amyloliquefaciens Y2|CP003332|c6,-1
Bacillus sp 5B6|AJST01000001|c5,-1
Bacillus subtilis|DQ844599|c1,1
Bacillus amyloliquefaciens|JMEG01000001|c1,-1
Paenibacillus sp IHB B 3415|JUEI01000002|c1,-1
Paenibacillus sp FSL R5-0912|CP009282|c2,-1
Aquimarina atlantica|AQRA01000010|c1,-1
Clostridium cellulolyticum H10|CP001348|c1,-1
Saccharomonospora cyanea NA-134|CM001440|c10,-1
Kibdelosporangium phytohabitans|CP012752|c14,-1
Sorangium cellulosum|KT368180|c1,-1
chlorotonil,-1
Streptomyces sp CNH365|KT368179|c1,1
anthracimycin,1
Streptomyces sp T676|LN871452|c1,1
Burkholderia pseudomallei MSHR332|JQFM01000061|c1,-1
Burkholderia pseudomallei|JQIM01000009|c8,-1
Burkholderia pseudomallei|CGIB01000024|c1,-1
malleilactone,-1
Sporocytophaga myxococcoides|BBLT01000001|c2,-1
Plesiocystis pacifica SIR-1|ABCS01000133|c1,1
Streptomyces sp SPB074|GG770539|c1,-1
Saccharothrix sp ST-888|JYJF01000008|c2,-1
Micromonospora sp L5|CP002399|c9,-1
lankacidin,-1
Hahella chejuensis|HE664023|c1,-1
Hahella chejuensis KCTC 2396|CP000155|c8,-1
leinamycin,-1
Catenulispora acidiphila DSM 44928|CP001700|c5,-1
Micromonospora aurantiaca ATCC 27029|CP002162|c12,-1
Streptomyces atroolivaceus|AF484556|c1,-1
Streptomyces leeuwenhoekii|LN831790|c8,-1
Burkholderia gladioli|JPGG01000009|c1,1
Gloeobacter violaceus PCC 7421|BA000045|c4,-1
Hyalangium minutum|JMCB01000001|c1,-1
Nostoc sp Peltigera membranacea cyanobiont|JQ975876|c1,1
Myxococcus hansupus|CP012109|c9,-1
Micromonospora sp ATCC 39149|GG657738|c19,-1
Sorangium cellulosum So0157-2|CP003969|c4,-1
kirromycin,-1
Streptomyces cattleya NRRL 8057 = DSM 46488|FQ859185|c13,-1
Streptomyces cattleya NRRL 8057 = DSM 46488|CP003219|c13,-1
Streptomyces collinus Tu 365|AM746336|c1,-1
Streptomyces collinus Tu 365|CP006259|c27,-1
Streptomyces collinus Tu 365|CP006259|c2,-1
Kitasatospora setae KM-6054|AP010968|c28,-1
Azospirillum brasilense|JGVN01000004|c1,-1
Streptomyces bingchenggensis BCW-1|CP002047|c3,-1
Streptomyces cyaneogriseus subsp noncyanogenus|CP010849|c4,-1
Cellvibrio japonicus Ueda107|CP000934|c3,-1
Burkholderia ubonensis MSMB22|CP009487|c1,-1
Burkholderia sp MSHR3999|JRFO01000005|c2,-1
Burkholderia ambifaria AMMD|CP009800|c5,-1
Burkholderia ambifaria AMMD|CP000442|c3,-1
Pseudomonas aeruginosa CF27|AXRM01000017|c1,-1
Pseudomonas sp CMAA1215|AVOY01000221|c1,-1
Pseudomonas endophytica|LLWH01000135|c1,1
Burkholderia pseudomallei|CP012518|c9,-1
Burkholderia pseudomallei|CP008759|c13,-1
Burkholderia pseudomallei ABCPW 1|JQIJ01000004|c6,-1
Burkholderia pseudomallei 1026b|CP004380|c5,-1
Burkholderia pseudomallei TSV 48|CP009160|c11,-1
Burkholderia pseudomallei|CFWG01000010|c1,-1
Gynuella sunshinyii YC6258|CP007142|c18,-1
Pseudomonas syringae pv syringae B728a|CP000075|c9,-1
Pseudomonas syringae pv syringae|JPNN01000115|c1,-1
Pseudomonas syringae pv solidagae|LJRH01000102|c1,-1
Pseudomonas syringae pv lapsa|LJQQ01000031|c1,-1
Pseudomonas syringae pv syringae|LJRK01000113|c1,-1
Pseudomonas syringae pv atrofaciens|LJPO01000137|c1,-1
Pseudomonas syringae pv syringae str B301D-R|JALJ01000001|c1,-1
Pseudomonas syringae pv syringae|LGKT01000090|c1,-1
Pseudomonas syringae pv syringae HS191|CP006256|c1,-1
Pseudomonas syringae pv aptata|LJRP01000101|c1,-1
Pseudomonas syringae pv syringae B301D|CP005969|c9,-1
Pseudomonas syringae pv aceris|LGAR01000025|c1,-1
Pseudomonas syringae KCTC 12500|AYTM02000002|c2,-1
Burkholderia pseudomallei 354a|AGVS01000588|c1,1
Burkholderia pseudomallei 354e|AHJD01000211|c1,1
Burkholderia pseudomallei MSHR4303|JPVM01000013|c1,1
Burkholderia pseudomallei|CP008754|c1,1
Burkholderia pseudomallei|JOTS01000003|c1,1
Burkholderia pseudomallei 354e|AHJD01000210|c1,1
Burkholderia pseudomallei MSHR7498|JQDH01000131|c1,1
Burkholderia mallei|CP008731|c9,-1
Burkholderia mallei ATCC 23344|CP000011|c4,-1
Burkholderia pseudomallei TSV28|JQHU01000166|c1,-1
Burkholderia pseudomallei|JZXP01000034|c2,-1
Burkholderia mallei NCTC 10229|CP000545|c3,-1
Burkholderia mallei|JPGO01000136|c1,1
Burkholderia pseudomallei MSHR1000|JQEF01000017|c1,1
Burkholderia pseudomallei 1258a|AHJB01000324|c1,1
Burkholderia pseudomallei 354e|AHJD01000209|c1,1
Burkholderia pseudomallei 1026a|AHJA01000154|c1,1
Burkholderia pseudomallei 1258b|AHJC01000245|c1,1
Burkholderia pseudomallei 1710b|CP000125|c16,-1
Burkholderia mallei GB8 horse 4|AAHO01000060|c1,-1
Burkholderia pseudomallei MSHR1153|CP009272|c16,-1
Burkholderia pseudomallei MSHR5492|JQDO01000108|c1,1
Burkholderia pseudomallei|JOTT01000028|c1,-1
Burkholderia pseudomallei MSHR5613|JQDK01000047|c1,1
Burkholderia pseudomallei MSHR7334|JQDF01000120|c1,-1
Burkholderia pseudomallei|JOTW01000025|c1,1
Burkholderia pseudomallei MSHR1029|JQDB01000004|c1,1
Burkholderia pseudomallei NAU35A-3|CP004378|c8,-1
Burkholderia pseudomallei TSV 31|JPVE01000004|c1,1
Burkholderia pseudomallei TSV 43|JPQK01000002|c1,-1
Burkholderia pseudomallei MSHR520|CP004369|c14,-1
Burkholderia pseudomallei TSV28|JQHU01000104|c1,1
Burkholderia pseudomallei|JOTU01000012|c1,1
Burkholderia pseudomallei|CP008754|c14,1
Burkholderia pseudomallei MSHR4300|JPQI01000001|c1,-1
Burkholderia pseudomallei ABCPW 107|JQDN01000137|c1,1
Burkholderia mallei|JNLV01000112|c1,1
Burkholderia pseudomallei 1655|CH899718|c2,-1
Burkholderia pseudomallei MSHR511|CP004024|c9,-1
Burkholderia pseudomallei|CP008917|c16,1
Burkholderia pseudomallei|JOTX01000111|c1,1
Burkholderia pseudomallei MSHR640|JQFP01000034|c2,1
Burkholderia pseudomallei MSHR543|JPZX01000020|c1,-1
Burkholderia pseudomallei|JPHB01000020|c1,-1
Burkholderia pseudomallei|JPNV01000094|c2,1
Burkholderia pseudomallei|JOUA01000001|c1,-1
Burkholderia pseudomallei MSHR5609|JQDJ01000057|c1,1
Burkholderia pseudomallei|JPNU01000054|c1,1
Burkholderia pseudomallei MSHR4299|JPVC01000007|c1,1
Burkholderia pseudomallei MSHR1328|APNR01000004|c1,-1
Burkholderia pseudomallei MSHR4303|JPVM01000030|c2,1
Burkholderia pseudomallei MSHR449|JQFO01000063|c1,1
Burkholderia pseudomallei TSV32|JQHT01000002|c1,-1
Burkholderia pseudomallei|JOTZ01000088|c1,1
Burkholderia pseudomallei|JPNW01000038|c1,1
Burkholderia mallei|JNLU01000216|c1,1
Burkholderia pseudomallei MSHR435|JRFP01000011|c1,1
Burkholderia mallei|JNUY01000109|c1,1
Burkholderia pseudomallei|JPNQ01000114|c1,1
Burkholderia pseudomallei MSHR456|JQFN01000014|c1,1
Burkholderia pseudomallei MSHR7504|JPWR01000143|c1,1
Burkholderia mallei ATCC 10399|CH899679|c2,-1
Burkholderia mallei NCTC 10247|CP000547|c6,-1
Burkholderia pseudomallei|JOTY01000099|c1,1
Burkholderia mallei FMH|DS264095|c1,1
Burkholderia pseudomallei|JPHA01000126|c1,1
Burkholderia pseudomallei NCTC 13179|CP003977|c14,-1
Burkholderia pseudomallei MSHR684|JQDC01000005|c10,-1
Burkholderia mallei|CP009943|c9,-1
Burkholderia mallei|CP008722|c1,-1
Burkholderia mallei|CP010066|c4,-1
Burkholderia mallei|CP008705|c7,-1
Burkholderia mallei NCTC 10247|CP007801|c7,-1
Burkholderia mallei|CP009147|c10,-1
Burkholderia mallei|CP009588|c2,-1
Burkholderia pseudomallei TSV5|JQGY01000014|c1,-1
Burkholderia pseudomallei|JYBJ01000031|c2,1
Burkholderia pseudomallei MSHR7343|JQDM01000117|c1,1
Burkholderia pseudomallei MSHR5569|JQDL01000051|c2,1
Burkholderia pseudomallei|JOTV01000055|c1,1
Burkholderia pseudomallei|JYBG01000049|c2,-1
Burkholderia pseudomallei MSHR3709|JRFK01000095|c1,-1
Burkholderia pseudomallei A79D|JQHR01000089|c1,-1
Burkholderia pseudomallei MSHR4378|JQDP01000158|c1,1
Burkholderia pseudomallei MSHR4868|JQGZ01000014|c1,1
Burkholderia pseudomallei MSHR7527|JPWS01000073|c5,-1
Burkholderia pseudomallei MSHR146|CP004043|c7,-1
Burkholderia pseudomallei A79C|JQHQ01000112|c1,1
Burkholderia pseudomallei MSHR5596|JQDE01000165|c1,-1
Burkholderia pseudomallei 305|AAYX01000003|c1,-1
Burkholderia pseudomallei MSHR338|ATJY01000023|c1,1
Burkholderia pseudomallei|CP008763|c6,-1
Burkholderia pseudomallei|CP012516|c9,-1
Burkholderia pseudomallei MSHR1043|AOGU01000017|c2,-1
Burkholderia pseudomallei|JYBH01000045|c2,-1
Burkholderia pseudomallei MSHR6137|AXDS01000040|c1,-1
Burkholderia pseudomallei TSV44|JQGX01000025|c1,-1
Burkholderia mallei|LBFF01000163|c1,-1
Burkholderia pseudomallei MSHR3016|JQEH01000045|c2,-1
Burkholderia mallei|CP009338|c2,-1
Burkholderia mallei|CP008710|c3,-1
Burkholderia pseudomallei MSHR1079|APNS01000004|c12,-1
Burkholderia pseudomallei Pakistan 9|ACKA01000024|c1,1
Burkholderia pseudomallei 7894|CP009536|c12,-1
Burkholderia pseudomallei MSHR4503|JPQN01000004|c5,-1
Burkholderia mallei|JPNX02000001|c3,-1
Burkholderia pseudomallei MSHR2243|CP009269|c11,-1
Burkholderia pseudomallei|CGIB01000019|c1,-1
Burkholderia pseudomallei|CSKY01000005|c1,-1
Burkholderia pseudomallei|CP009156|c13,-1
Burkholderia pseudomallei MSHR305|CP006469|c6,-1
Burkholderia pseudomallei|CIAY01000001|c1,-1
Burkholderia pseudomallei|CGHA01000005|c1,-1
Burkholderia pseudomallei|CGEW01000001|c1,-1
Burkholderia pseudomallei|CSJU01000001|c4,-1
Burkholderia pseudomallei|CSNQ01000019|c1,-1
Burkholderia pseudomallei|CSLB01000005|c2,-1
Burkholderia pseudomallei|CSPX01000018|c1,-1
Burkholderia pseudomallei MSHR5855|JMMV01000071|c4,-1
Burkholderia pseudomallei|CFVY01000008|c1,-1
Burkholderia pseudomallei|CWJE01000004|c1,-1
Burkholderia pseudomallei|CIBB01000020|c1,-1
Burkholderia pseudomallei MSHR332|JQFM01000068|c1,-1
Burkholderia pseudomallei|CIAS01000006|c1,-1
Burkholderia pseudomallei|CSMO01000021|c1,-1
Burkholderia pseudomallei|JQIM01000009|c3,-1
Burkholderia pseudomallei MSHR2451|JQEG01000036|c1,-1
Burkholderia pseudomallei 1106b|CM000775|c6,-1
Burkholderia pseudomallei|CSQP01000020|c1,-1
Burkholderia pseudomallei MSHR4000|JPVL01000019|c3,-1
Burkholderia pseudomallei K42|CP009163|c1,-1
Burkholderia pseudomallei|CIJT01000019|c1,-1
Burkholderia pseudomallei|CHFC01000005|c2,-1
Burkholderia pseudomallei|CGFC01000003|c3,-1
Burkholderia pseudomallei|CHFB01000005|c1,-1
Burkholderia pseudomallei|CGEX01000006|c1,-1
Burkholderia pseudomallei MSHR3964|JPVD01000007|c11,-1
Burkholderia pseudomallei|CFVR01000005|c2,-1
Burkholderia pseudomallei|CIBL01000018|c1,-1
Burkholderia pseudomallei PB08298010|CP009550|c9,-1
Burkholderia pseudomallei|CSKI01000005|c1,-1
Burkholderia pseudomallei MSHR4377|JPQH01000001|c3,-1
Burkholderia pseudomallei|CSSE01000019|c1,-1
Burkholderia pseudomallei|LGKL01000032|c4,-1
Burkholderia pseudomallei|CSRJ01000019|c1,-1
Burkholderia pseudomallei MSHR2990|JQHV01000041|c2,-1
Burkholderia pseudomallei|CP010974|c8,-1
Burkholderia pseudomallei MSHR3335|JRFL01000009|c4,-1
Burkholderia pseudomallei MSHR4372|JPQJ01000004|c3,-1
Burkholderia pseudomallei|CFVQ01000005|c1,-1
Burkholderia pseudomallei|CFXD01000019|c1,-1
Burkholderia pseudomallei|CP009210|c10,-1
Burkholderia pseudomallei MSHR4003|JPUZ01000004|c4,-1
Burkholderia pseudomallei|CP009586|c4,-1
Burkholderia pseudomallei|CIGX01000017|c1,-1
Burkholderia pseudomallei|CSKU01000004|c1,-1
Burkholderia pseudomallei MSHR5858|CP008891|c8,-1
Burkholderia pseudomallei|CSKO01000002|c1,-1
Burkholderia pseudomallei|CWJA01000006|c1,-1
Burkholderia pseudomallei|LK936443|c8,-1
Burkholderia pseudomallei|CSQF01000021|c1,-1
Burkholderia pseudomallei|CGHB01000002|c5,-1
Burkholderia gladioli BSR3|CP002600|c2,-1
Burkholderia pseudomallei|CFVP01000001|c1,-1
Burkholderia pseudomallei MSHR1357|JQDA01000032|c2,-1
Burkholderia pseudomallei|CP008835|c2,-1
Burkholderia pseudomallei MSHR5848|CP008910|c3,-1
Burkholderia pseudomallei|CFWA01000001|c5,-1
Burkholderia pseudomallei MSHR2138|JRFM01000126|c2,-1
Burkholderia pseudomallei|CGEZ01000020|c1,-1
Burkholderia pseudomallei|CFVS01000004|c2,1
Burkholderia pseudomallei|CFWE01000012|c1,-1
Burkholderia pseudomallei|CFZT01000019|c1,-1
Burkholderia pseudomallei 1026b|CP002834|c9,-1
Burkholderia pseudomallei MSHR4308|JPVB01000003|c11,-1
Burkholderia pseudomallei|CSSW01000018|c1,-1
Burkholderia pseudomallei|CFVW01000004|c1,-1
Burkholderia pseudomallei|CSKZ01000006|c1,-1
Burkholderia pseudomallei|CFVO01000001|c1,-1
Burkholderia pseudomallei|CSNW01000018|c1,-1
Burkholderia pseudomallei|CFXK01000019|c1,-1
Burkholderia pseudomallei MSHR840|CP009473|c13,-1
Burkholderia pseudomallei|CFVL01000005|c1,-1
Burkholderia pseudomallei|CSLU01000018|c1,-1
Burkholderia pseudomallei 668|CP000571|c9,-1
Burkholderia pseudomallei|CFVN01000001|c1,-1
Burkholderia pseudomallei|CSMB01000020|c1,-1
Burkholderia pseudomallei|CP009546|c12,-1
Burkholderia pseudomallei MSHR62|CP009234|c9,-1
Burkholderia pseudomallei|CFVX01000002|c4,-1
Burkholderia pseudomallei|CSLI01000001|c2,-1
Burkholderia pseudomallei MSHR4462|JPQM01000003|c7,-1
Burkholderia pseudomallei|JYBI01000001|c1,-1
Burkholderia pseudomallei|CSRV01000018|c1,1
Burkholderia pseudomallei|CIAV01000005|c1,-1
Burkholderia pseudomallei|CSOU01000018|c1,1
Burkholderia pseudomallei|CFWL01000020|c1,-1
Burkholderia pseudomallei|CIGS01000017|c1,-1
Burkholderia pseudomallei|CGEV01000021|c1,-1
Burkholderia pseudomallei|CGFK01000005|c1,-1
Burkholderia pseudomallei|CFVV01000022|c1,-1
Burkholderia pseudomallei|CHFD01000022|c1,-1
Burkholderia pseudomallei|CSKM01000001|c1,-1
Burkholderia pseudomallei|CIJK01000018|c1,-1
Burkholderia pseudomallei|CSOX01000016|c1,-1
Burkholderia pseudomallei|CSOW01000021|c1,-1
Burkholderia pseudomallei|CGFW01000019|c1,-1
Burkholderia pseudomallei|CFNO01000001|c1,-1
Burkholderia pseudomallei|CGFB01000005|c2,-1
Burkholderia pseudomallei|CGFU01000020|c1,-1
Burkholderia pseudomallei|CWJD01000020|c1,-1
Burkholderia pseudomallei|CFWF01000005|c2,-1
Burkholderia pseudomallei|CSKR01000004|c1,-1
Burkholderia pseudomallei|CFVT01000006|c2,-1
Burkholderia pseudomallei|CSKA01000001|c1,-1
Burkholderia pseudomallei MSHR4012|JPVH01000006|c5,-1
Burkholderia pseudomallei|CSKE01000004|c2,-1
Burkholderia pseudomallei|CSKP01000020|c1,-1
Burkholderia pseudomallei|CIAU01000004|c2,-1
Burkholderia pseudomallei|CSKS01000004|c1,-1
Burkholderia pseudomallei|CWJC01000003|c1,-1
Burkholderia pseudomallei|CGFR01000019|c1,-1
Burkholderia pseudomallei|CSRL01000019|c1,-1
Burkholderia pseudomallei|CSLN01000001|c1,-1
Burkholderia pseudomallei|CP009127|c11,-1
Burkholderia pseudomallei K96243|BX571966|c8,-1
Burkholderia pseudomallei MSHR4032|JPQL01000005|c5,-1
Burkholderia pseudomallei|CSLS01000018|c1,-1
Burkholderia pseudomallei|CSKL01000002|c4,-1
Burkholderia pseudomallei MSHR7500|JREN01000004|c2,-1
Burkholderia pseudomallei MSHR303|JQDD01000009|c2,-1
Burkholderia pseudomallei|CFWB01000005|c2,-1
Burkholderia pseudomallei|CP012577|c11,-1
Burkholderia pseudomallei HBPUB10134a|CP008912|c6,-1
Burkholderia pseudomallei|CHKR01000002|c4,-1
Burkholderia pseudomallei|CSPL01000018|c1,1
Burkholderia pseudomallei|CHKS01000004|c2,-1
Burkholderia pseudomallei MSHR5855|CP008783|c10,-1
Burkholderia pseudomallei|CFWQ01000019|c1,-1
Burkholderia pseudomallei|CIHR01000017|c1,-1
Burkholderia pseudomallei|CSOV01000019|c1,-1
Burkholderia pseudomallei|CSKJ01000001|c4,-1
Burkholderia pseudomallei|CFXP01000020|c1,-1
Burkholderia pseudomallei|CIGP01000007|c1,-1
Burkholderia pseudomallei|CSLM01000002|c4,-1
Burkholderia pseudomallei|CSLF01000001|c1,-1
Burkholderia pseudomallei|CSKH01000001|c4,-1
Burkholderia pseudomallei|CGHC01000005|c2,1
Burkholderia pseudomallei|CGHK01000020|c1,-1
Burkholderia pseudomallei|CFWD01000004|c2,-1
Burkholderia pseudomallei MSHR2543|CP009477|c9,-1
Burkholderia pseudomallei|CSME01000019|c1,-1
Burkholderia pseudomallei MSHR3458|JQOB01000005|c3,-1
Burkholderia pseudomallei TSV 25|JPVK01000015|c1,-1
Burkholderia pseudomallei|CFWC01000003|c1,-1
Burkholderia pseudomallei|CP008779|c4,-1
Burkholderia pseudomallei|CFVZ01000004|c1,-1
Burkholderia pseudomallei|CSLP01000009|c1,-1
Burkholderia pseudomallei MSHR346|ACOJ01000001|c4,-1
Burkholderia mallei SAVP1|CP000525|c2,-1
Burkholderia pseudomallei|CSKB01000005|c1,-1
Burkholderia pseudomallei|CWJF01000005|c2,-1
Burkholderia pseudomallei|CSSV01000018|c1,-1
Burkholderia pseudomallei MSHR4304|JPOA01000001|c4,-1
Burkholderia pseudomallei 1710a|CM000833|c2,1
Burkholderia pseudomallei|CSKK01000001|c1,-1
Burkholderia pseudomallei K96243|CP009537|c14,1
Burkholderia pseudomallei|CFKW01000004|c2,-1
Burkholderia pseudomallei|CFVK01000001|c4,-1
Burkholderia pseudomallei MSHR3960|JPVJ01000012|c2,-1
Burkholderia pseudomallei NCTC 13178|CP004002|c9,-1
Burkholderia pseudomallei|CFZV01000019|c1,-1
Burkholderia pseudomallei|CSPM01000019|c1,-1
Burkholderia pseudomallei|CGFL01000021|c1,-1
Burkholderia pseudomallei|CSMH01000017|c1,-1
Burkholderia pseudomallei|CSKN01000004|c2,-1
Burkholderia pseudomallei|CSQB01000019|c1,-1
Burkholderia pseudomallei|CSKW01000004|c2,-1
Burkholderia pseudomallei|CSKC01000001|c5,-1
Burkholderia pseudomallei|JQII01000001|c3,-1
Burkholderia pseudomallei MSHR491|CP009484|c9,-1
Burkholderia pseudomallei 406e|CP009297|c10,-1
Burkholderia pseudomallei A79A|CP009164|c5,-1
Burkholderia pseudomallei|CIJQ01000019|c1,-1
Burkholderia pseudomallei|CSKD01000001|c1,-1
Burkholderia pseudomallei|CFWT01000019|c1,-1
Burkholderia pseudomallei|CSKT01000004|c1,-1
Burkholderia pseudomallei|CSKQ01000002|c2,-1
Burkholderia pseudomallei|CSRH01000018|c1,-1
Burkholderia pseudomallei|CGFD01000010|c1,-1
Burkholderia pseudomallei|CSLH01000005|c1,-1
Burkholderia pseudomallei|CHKY01000018|c1,-1
Burkholderia pseudomallei|CGFE01000001|c1,-1
Burkholderia pseudomallei|CSKX01000021|c1,-1
Burkholderia pseudomallei|CGEY01000004|c2,-1
Burkholderia pseudomallei|CIBF01000016|c1,-1
Burkholderia pseudomallei|CGHG01000001|c1,-1
Burkholderia pseudomallei|JQIK01000006|c5,-1
Burkholderia pseudomallei|CSLG01000005|c2,-1
Burkholderia pseudomallei|CFZL01000018|c1,-1
Burkholderia pseudomallei|CSQA01000020|c1,-1
