bgc_id	training_status	clade_nr	ks_nr
AXDB02000045|c1	F	3	3
CP006952|c6	F	6	11
CP006952|c7	F	9	14
CP006952|c1	F	1	3
CP000667|c3	F	1	2
AP014633|c5	F	11	14
LN649259|c5	F	10	16
CP002927|c7	F	9	14
AEAO01000064|c1	F	3	4
JNUY01000109|c1	F	2	2
HG328254|c10	F	11	14
LMGA01000001|c3	F	3	3
CP006941|c8	F	5	6
AOTY01000002|c3	F	10	16
CGHA01000005|c1	F	8	11
CP006941|c2	F	1	4
JSEZ02000003|c1	F	2	4
CFVT01000006|c2	F	8	11
CP007801|c10	F	2	3
CSKG01000003|c2	F	8	11
LDCN01000001|c1	F	2	10
CSKQ01000025|c1	F	2	3
CP009234|c9	F	8	11
CP009234|c4	F	3	3
JPOA01000002|c7	F	3	3
JMEG01000001|c1	F	2	4
CSSB01000018|c1	F	8	9
CP009460|c9	F	2	4
JPVK01000015|c1	F	8	11
JPVK01000015|c6	F	3	3
CQZO01000001|c3	F	6	11
ALVN01000014|c2	T	12	16
CQZO01000001|c4	F	9	14
LJDI01000033|c1	F	7	11
CFVR01000005|c2	F	8	11
LGAT01000016|c1	F	6	6
CFXU01000017|c1	F	8	10
JPWT01000074|c1	F	1	2
JQDD01000011|c4	F	3	3
JQFP01000020|c1	F	3	3
JYCW01000002|c1	F	1	4
CP003838|c6	F	5	11
CP003838|c7	F	9	14
CSKV01000024|c1	F	8	10
AHRK01000020|c1	F	1	3
HE804045|c19	F	5	10
JQDO01000108|c1	F	3	4
JMEG01000008|c1	F	4	4
JQHR01000089|c1	F	6	8
AYTM02000002|c2	F	5	6
CSQC01000019|c1	F	8	10
CP009152|c9	F	8	11
JUEB01000024|c1	F	2	2
CSLU01000018|c1	F	8	10
JPVW01000002|c1	F	10	16
CP009152|c5	F	3	3
CGHB01000023|c1	F	2	3
CM000775|c6	F	8	11
JOTU01000015|c8	F	3	3
CP007801|c7	F	8	10
JOTU01000015|c4	F	3	3
CM000775|c9	F	2	3
CSLB01000005|c2	F	8	11
LFZT01000006|c1	F	5	6
CSKO01000021|c1	F	2	3
CSOX01000022|c1	F	3	3
CP006469|c6	F	8	11
CFWQ01000019|c1	F	8	10
ABIB01000020|c1	F	2	2
CHFD01000022|c1	F	8	10
LMPN01000003|c1	F	2	10
AHTA01000017|c1	F	1	3
JPVB01000003|c6	F	3	3
CSLM01000002|c4	F	8	11
CP001348|c4	F	1	6
CP001348|c2	F	2	3
CP001348|c1	F	6	17
CSKZ01000005|c2	F	3	3
BX571966|c8	F	9	11
CGFC01000017|c1	F	3	3
CFWG01000010|c1	F	5	6
JPGG01000016|c7	F	7	9
JQIL01000006|c4	F	8	10
CGIB01000019|c1	F	8	10
KJ461964|c1	F	11	13
AKVJ01000002|c2	F	2	2
CHFE01000004|c2	F	8	11
JSYP01000020|c1	F	6	10
AP010968|c28	F	3	13
LBFF01000163|c1	F	6	8
JPNX02000001|c3	F	7	10
CSLK01000020|c1	F	8	10
JZWZ01000008|c1	F	4	5
LN831790|c8	F	5	8
ACCE01000006|c1	F	2	3
FR687018|c1	F	1	2
AHRL01000052|c1	F	4	8
CSOV01000004|c3	F	3	3
HE664023|c1	F	2	5
JPNW01000038|c1	F	3	3
CFVV01000020|c1	F	3	3
CP012591|c1	F	4	4
CFWB01000029|c1	F	3	3
CP001699|c13	T	12	15
JPWS01000046|c1	F	3	3
CP006845|c7	F	9	14
CP006845|c6	F	5	11
DS264095|c3	F	1	2
DS264095|c1	F	2	3
DQ889941|c1	T	10	16
CP000934|c3	F	4	7
CYHP01000052|c1	F	4	4
LLWH01000135|c1	F	2	3
LEKS01000015|c1	F	5	10
JQDP01000080|c1	F	3	3
CFWJ01000018|c1	F	3	3
JNLU01000216|c1	F	2	2
AWQY01000004|c4	F	5	6
CSQF01000023|c1	F	3	3
AVPH01000301|c1	F	3	4
CSNW01000018|c1	F	8	10
JPQK01000001|c2	F	3	3
CP000085|c7	F	11	17
CFVU01000004|c2	F	8	11
CP008893|c14	F	3	3
CSLO01000020|c1	F	2	3
CFVK01000021|c1	F	2	3
CP006890|c11	F	10	14
JQNZ01000008|c1	F	5	5
CFVL01000005|c1	F	8	11
LJPM01000228|c1	F	5	5
CP004118|c2	F	8	14
CFWB01000005|c2	F	8	11
CP004019|c4	F	7	12
JZDI01000018|c1	F	6	6
CP010556|c10	F	11	14
CP009288|c4	F	3	6
JPGJ01000003|c2	F	2	3
CP001700|c5	F	7	8
JNLV01000184|c1	F	2	3
CP009282|c2	F	3	4
AM411073|c1	T	12	16
JOTV01000069|c2	F	2	3
JPUY01000005|c4	F	8	11
CP009588|c11	F	2	3
CP009611|c6	F	9	14
CP009611|c5	F	5	11
JPGJ01000001|c4	F	2	3
CGFL01000021|c1	F	8	10
JPGJ01000001|c1	F	3	3
CSOX01000016|c1	F	8	10
LJAU01000034|c2	F	1	2
CHFB01000020|c1	F	3	3
CSKM01000022|c1	F	3	3
CFVP01000001|c1	F	8	11
AWQY01000002|c2	F	9	14
AWQY01000002|c3	F	6	11
LGAU01000015|c1	F	6	6
DQ844599|c1	F	4	6
CP009280|c3	F	5	7
CP009280|c2	F	2	2
AHRQ01000021|c1	F	6	6
JRWY01000058|c1	F	1	2
JPGH01000160|c1	F	2	3
JPYY01000002|c1	F	9	14
JPYY01000002|c2	F	5	11
AXDS01000001|c1	F	3	3
CSLL01000022|c1	F	8	10
CSOU01000022|c1	F	3	3
JQDH01000069|c1	F	3	3
AMWE01000004|c1	F	3	4
AMWE01000004|c3	F	12	16
CSLN01000001|c1	F	8	11
JOTZ01000104|c1	F	1	2
AL009126|c5	T	10	16
CSPL01000018|c1	F	8	9
CP012516|c9	F	6	9
CP012516|c4	F	3	3
CP003695|c7	F	10	16
JPZP01000007|c14	F	5	5
CP007699|c4	F	7	10
CWJE01000004|c1	F	8	11
HG328253|c11	F	11	14
CP002600|c2	F	9	11
CAGD01000027|c1	F	4	5
JWTD02000065|c1	F	2	4
LHCC01000002|c1	F	9	14
JPHA01000126|c1	F	2	2
JTKJ02000002|c1	F	5	11
CP002213|c9	F	9	13
AMBZ01000008|c1	F	2	3
CP008835|c2	F	8	11
JXAM01000022|c1	F	8	8
JTKJ02000012|c1	F	10	14
JXHR01000025|c1	F	2	3
CP004004|c13	F	3	3
CP003355|c3	F	2	2
CP007574|c18	F	6	9
JQFO01000063|c1	F	3	4
JPRM01000036|c1	F	6	10
CP006872|c10	F	9	13
JPQI01000003|c5	F	3	3
LJJY01000001|c3	F	5	11
JUEI01000066|c1	F	3	3
CSLJ01000006|c1	F	8	11
AHSX01000010|c1	F	1	3
CSKL01000002|c4	F	8	11
CFVO01000003|c1	F	2	3
CHFI01000020|c1	F	2	3
CSPA01000019|c1	F	8	10
CP009210|c5	F	3	3
LGKT01000090|c1	F	6	6
CP002399|c9	F	6	8
CSNW01000005|c1	F	3	3
CP002634|c5	F	9	14
ASRX01000032|c1	F	7	10
APNS01000004|c4	F	2	3
CSLB01000002|c1	F	3	3
ATBP01000005|c1	F	0	4
CGFL01000025|c1	F	3	3
CSKR01000004|c1	F	8	11
JQEG01000036|c1	F	8	11
LMCY01000011|c2	F	9	12
CP010018|c10	F	11	17
CP000442|c3	T	1	9
CSLA01000023|c1	F	8	10
CP000698|c3	F	8	13
JPVC01000007|c1	F	3	4
JPVC01000007|c6	F	2	3
LDZV01000001|c4	F	2	11
CP009487|c3	F	2	3
CP009487|c1	F	1	11
CP000155|c8	F	2	5
CP010014|c5	F	10	16
JNOV01000093|c1	F	2	3
CP010849|c4	F	2	3
JYGI01000030|c2	F	12	15
CP006256|c1	F	4	6
CSKB01000018|c1	F	3	3
JQGX01000063|c1	F	3	3
CGIB01000024|c1	F	2	2
CSPX01000022|c1	F	3	3
CFVM01000011|c1	F	8	11
LDZV01000001|c5	F	1	2
CP008891|c4	F	3	3
JPQI01000001|c6	F	3	3
JPQI01000001|c1	F	3	4
JQOB01000005|c3	F	8	11
BAVR01000001|c1	F	1	2
CFVM01000021|c1	F	2	3
CP010018|c6	F	2	3
CGFW01000019|c1	F	8	10
JQ269659|c1	F	6	13
CFVQ01000023|c1	F	3	3
JPGF01000203|c1	F	2	3
JPVI01000008|c1	F	3	3
CXWC01000011|c1	F	8	12
JPNZ01000001|c3	F	10	16
CSKX01000021|c1	F	8	10
CP009054|c1	F	1	3
JPGO01000136|c1	F	3	4
CP007800|c5	F	10	16
KF356280|c1	F	5	12
AJ874112|c1	F	7	10
CP009586|c9	F	3	3
CP009586|c4	F	8	11
CP000560|c11	F	11	14
AVQH01000001|c3	F	5	11
AVQH01000001|c2	F	9	14
FQ859185|c13	F	5	14
JPPY01000213|c1	F	4	5
CFXP01000020|c1	F	8	10
AHJD01000210|c1	F	3	3
CP007173|c4	F	10	16
JOTU01000012|c1	F	3	4
CSQA01000003|c1	F	3	3
JQDC01000005|c6	F	3	3
CP009285|c2	F	5	7
LJQQ01000031|c1	F	4	6
CP012518|c4	F	3	3
JNUZ01000153|c1	F	1	2
CP012518|c9	F	4	6
CP000545|c11	F	2	3
CFVI01000002|c4	F	8	11
CSKL01000023|c1	F	2	3
CP010556|c5	F	6	11
CP010556|c6	F	9	14
HG328254|c6	F	9	14
HG328254|c5	F	5	11
CFZV01000019|c1	F	8	10
AVFR01001323|c1	F	2	2
JX173632|c1	T	7	13
CSKI01000005|c1	F	8	11
JPQH01000001|c3	F	8	11
JYCW01000006|c1	F	2	2
CSSE01000019|c1	F	8	10
JPDT01002420|c1	F	1	3
CSLM01000021|c1	F	2	3
ATJY01000041|c1	F	2	3
CFVY01000001|c3	F	3	3
ACOJ01000001|c13	F	2	3
JQEF01000017|c1	F	5	7
JZDI01000005|c1	F	5	6
JPVG01000006|c6	F	3	3
CFWT01000019|c1	F	8	10
JPVG01000009|c5	F	8	11
JMQI01000026|c1	F	4	4
CGEW01000024|c1	F	2	3
JQHV01000041|c2	F	8	11
CFXB01000018|c1	F	8	10
CP011076|c4	F	8	11
CP011076|c7	F	1	2
CSKJ01000023|c1	F	2	3
CP011076|c1	F	4	5
CHKR01000019|c1	F	2	3
LHCC01000002|c2	F	5	11
CWJC01000011|c1	F	3	3
AUXW01000155|c1	F	3	4
LBFF01000094|c1	F	2	3
JQIJ01000004|c10	F	3	3
JZDI01000001|c2	F	9	14
CP009938|c9	F	9	14
CP009938|c8	F	5	11
CSLH01000005|c1	F	8	11
AWQY01000006|c1	F	2	2
FR854394|c1	T	10	19
CP006845|c11	F	11	14
CP004380|c5	F	5	7
CGFD01000010|c1	F	8	11
JYBK01000026|c1	F	8	10
CP006871|c18	F	2	2
CYHP01000093|c1	F	9	13
CSLS01000022|c1	F	3	3
CIBE01000022|c1	F	8	10
CP003332|c7	F	9	13
CP003332|c6	F	5	11
CYHQ01000031|c1	F	10	13
LGJF01000001|c2	F	2	4
LHCC01000001|c3	F	11	14
CHFB01000005|c1	F	8	11
JPVB01000003|c11	F	8	11
CYHP01000026|c1	F	1	3
AKIX01000013|c1	F	11	14
CP009484|c4	F	3	3
CSMS01000022|c1	F	3	3
CP009898|c8	F	8	11
CP011101|c4	F	10	16
JCOC01000001|c2	F	9	14
CSKT01000004|c1	F	8	11
CGHA01000021|c1	F	3	3
AKVN01000065|c2	F	2	2
JQDA01000034|c3	F	3	3
CP004024|c14	F	3	3
HF563562|c10	F	10	14
CP002468|c11	F	10	16
LAUB02000098|c1	F	2	2
CFXK01000019|c1	F	8	10
JRFP01000011|c1	F	2	2
CP006890|c7	F	9	14
CP006890|c6	F	5	11
CP006890|c2	F	6	15
CM001440|c10	F	2	3
AJGV01000169|c1	F	2	3
CGHK01000024|c1	F	3	3
JYBH01000040|c2	F	3	3
CGFC01000003|c3	F	8	11
AHRD01000019|c1	F	9	15
JQIM01000009|c8	F	2	2
CSRV01000018|c1	F	8	9
JQIM01000009|c3	F	8	11
CIAY01000020|c1	F	3	3
JX315603|c1	T	13	17
CIBE01000026|c1	F	3	3
LGAT01000001|c1	F	8	8
CP008731|c6	F	2	3
CSSW01000021|c1	F	3	3
CP008731|c9	F	5	8
CIKM01000005|c3	F	3	3
AJGV01000165|c1	F	3	3
JQDP01000158|c1	F	6	8
CFVR01000023|c1	F	3	3
LMPN01000030|c1	F	11	20
CGHK01000020|c1	F	8	10
CSSB01000005|c3	F	3	3
CSRH01000018|c1	F	8	10
JXYA01000006|c1	F	4	4
CSRL01000023|c1	F	3	3
CP009473|c13	F	8	11
JPVH01000008|c5	F	3	3
HQ680975|c1	T	11	15
CFWD01000020|c1	F	3	3
CP012577|c3	F	3	3
CP008698|c5	F	10	16
CFZI01000022|c1	F	3	3
AFDH01000057|c1	F	1	3
JCOC01000003|c4	F	9	10
CIGP01000024|c1	F	2	3
CP009643|c6	F	2	3
CP006952|c11	F	10	13
LJRP01000101|c1	F	4	6
JRFP01000042|c2	F	3	3
ACKA01000024|c1	F	7	9
AHBX01000215|c1	F	8	12
CFWQ01000023|c1	F	3	3
CGEV01000018|c1	F	3	3
AFSU01000076|c1	F	5	11
CSME01000022|c1	F	3	3
HF563562|c5	F	5	11
HF563562|c6	F	9	14
JPGG01000009|c1	F	4	4
AF318063|c1	T	7	11
CP007409|c5	F	10	16
CP009938|c13	F	11	14
CSQB01000023|c1	F	3	3
CP009537|c9	F	3	3
JPYY01000001|c1	F	9	11
CSLE01000019|c1	F	3	3
CFVK01000001|c4	F	8	11
CFYP01000019|c1	F	8	10
AP009493|c33	F	7	9
CFNN01000016|c1	F	3	3
AHDJ01000066|c1	F	2	2
JPDT01000569|c2	F	9	11
AXDB02000008|c1	F	1	2
CYHI01000723|c1	F	4	8
JPDT01000569|c1	F	10	11
CIGV01000022|c1	F	3	3
CHKS01000018|c1	F	3	3
GG657758|c21	F	8	17
AQQJ01000003|c10	F	11	17
ASPR01000003|c1	F	1	6
CP011371|c6	F	3	3
JOTW01000024|c1	F	3	3
EF397502|c1	F	1	2
JYBI01000001|c1	F	8	11
CP001834|c1	F	1	3
AHJB01000187|c1	F	3	3
CP009748|c5	F	9	14
CP001654|c1	T	13	17
CP010978|c9	F	3	3
CP010978|c4	F	6	10
CP010978|c1	F	7	12
CIBF01000003|c1	F	3	3
HM584908|c1	T	11	24
CFWF01000005|c2	F	8	11
AKVM01000011|c1	F	2	2
JSZF01000100|c1	F	2	2
JZXP01000028|c3	F	3	3
CP002162|c12	F	6	8
CYHN01000020|c1	F	10	16
JPVA01000006|c3	F	8	11
JOTV01000055|c1	F	6	8
JUDU01000026|c1	F	5	6
CGEX01000013|c1	F	3	3
KR857271|c1	T	16	19
JPVJ01000012|c2	F	8	11
CP009322|c8	F	7	11
CP009322|c1	F	11	21
CSLO01000008|c1	F	8	11
CFVY01000008|c1	F	8	11
CP004405|c4	F	8	12
CWJF01000005|c2	F	8	11
CIBL01000023|c1	F	3	3
CSLU01000001|c1	F	3	3
JQNZ01000020|c5	F	9	14
JQNZ01000020|c4	F	5	11
CWJE01000020|c1	F	3	3
GG770539|c1	F	3	5
ACKA01000022|c1	F	2	2
AHRR01000028|c1	F	6	6
CP004043|c7	F	6	9
CSMB01000020|c1	F	8	10
CFZT01000002|c4	F	3	3
FR687359|c3	F	12	16
GQ274954|c1	F	7	10
CP008763|c6	F	6	9
HE577054|c9	F	9	13
JTHF01000101|c1	F	2	2
CSMB01000024|c1	F	3	3
CP009745|c6	F	2	3
CFVZ01000004|c1	F	8	11
LILA01000001|c3	F	10	16
CP000125|c11	F	3	3
CP000125|c16	F	4	5
AM746676|c14	F	12	21
AM746676|c17	F	11	18
BAVZ01000003|c1	F	11	16
CM000833|c2	F	8	10
CP009336|c1	F	7	12
CSLP01000024|c1	F	3	3
JPVD01000007|c6	F	3	3
CSJU01000022|c1	F	2	3
JQGY01000014|c1	F	6	8
JQIL01000005|c6	F	3	3
CP005997|c5	F	10	16
CIAV01000019|c1	F	3	3
CP004380|c10	F	3	3
AHJD01000211|c1	F	4	4
CSLG01000019|c1	F	3	3
AHSU01000032|c1	F	1	3
LJAU01000002|c1	F	7	8
AHJA01000090|c1	F	3	3
ASXP01000005|c1	F	2	2
CP009962|c4	F	2	4
JPOA01000001|c4	F	8	11
JUDU01000017|c1	F	2	2
JQIK01000004|c4	F	3	3
LN871452|c1	F	8	10
AHSW01000006|c1	F	6	6
JOTY01000099|c1	F	2	2
JPVA01000004|c2	F	3	3
JPNW01000075|c1	F	3	3
CQZO01000002|c1	F	6	6
ACLU01000171|c1	F	3	3
CFWG01000006|c1	F	3	3
JREN01000080|c1	F	3	3
CP009749|c7	F	9	14
CP009749|c6	F	5	11
CP009749|c2	F	5	10
CP010406|c2	F	9	14
CP000113|c14	T	9	16
CP004121|c2	F	8	8
CP003539|c3	F	9	15
JQGZ01000014|c1	F	6	8
CP009679|c11	F	10	14
JRFL01000007|c2	F	3	3
CP009297|c5	F	3	3
CBSV010000120|c1	F	1	3
CP010778|c3	F	10	16
CFZB01000025|c1	F	3	3
LJAU01000018|c2	F	9	14
LJAU01000018|c1	F	5	11
LGAU01000003|c3	F	5	11
ASPT01000003|c1	F	8	10
CP004369|c9	F	3	3
CFZB01000021|c1	F	8	10
AHSN01000003|c1	F	1	3
CP003332|c11	F	8	9
JQDA01000032|c2	F	8	11
CP004384|c3	F	11	17
JQDM01000117|c1	F	6	8
CP004384|c7	F	2	3
JQFN01000014|c1	F	2	2
CSOU01000018|c1	F	8	9
AHSF01000009|c1	F	1	3
JOTX01000111|c1	F	3	3
CP002627|c7	F	9	14
CSKD01000001|c1	F	8	11
JPVD01000007|c11	F	8	11
LJAU01000005|c1	F	5	6
CFXB01000006|c1	F	3	3
CSLC01000017|c1	F	3	3
CSLH01000022|c1	F	3	3
JQDB01000004|c1	F	3	3
JPNU01000054|c1	F	3	4
GG657738|c19	F	7	11
CP002734|c3	F	2	4
CP009272|c1	F	3	3
CSOV01000019|c1	F	8	10
CSKP01000020|c1	F	8	10
LGTC01000001|c1	F	1	2
CP009127|c6	F	3	3
CP004382|c4	F	11	17
CP004382|c7	F	2	3
CFXU01000006|c3	F	3	3
JX315604|c1	F	13	17
JOTS01000016|c2	F	3	3
AVPH01000112|c1	F	2	3
JPZW01000007|c4	F	8	11
AJRJ01000088|c1	F	1	2
LGKG01000155|c1	F	5	9
CP008759|c13	F	5	7
CP007640|c3	F	10	16
CSKA01000001|c1	F	8	11
CYHO01000081|c1	F	10	16
CP004386|c9	F	2	3
CYHL01000064|c1	F	5	6
LMEL01000021|c2	F	5	5
CSKH01000001|c4	F	8	11
ATAY01000017|c1	F	2	3
JPWR01000058|c1	F	3	3
JPHB01000011|c1	F	3	3
AEAN01000377|c1	F	3	3
CSLD01000003|c3	F	3	3
CGFD01000016|c1	F	3	3
FP885891|c2	F	13	16
CBSX010000268|c1	F	1	3
CP004090|c9	F	2	3
JNVM01000036|c1	F	5	6
CGFJ01000023|c1	F	3	3
CGFB01000005|c2	F	8	11
JOUA01000001|c1	F	3	4
JPNN01000115|c1	F	5	6
HE617159|c7	F	9	14
HE617159|c6	F	5	11
CGHT01000019|c1	F	8	10
JMIQ01000026|c1	F	4	5
CHKS01000004|c2	F	8	11
JUDU01000022|c1	F	6	6
CP007806|c10	F	1	2
HE617159|c11	F	10	14
CP005080|c6	F	3	4
CP004096|c3	F	2	3
CP004096|c2	F	10	13
JQNZ01000019|c1	F	2	2
JXDG01000003|c1	F	9	12
CWJC01000003|c1	F	8	11
CP000547|c4	F	1	2
CP000547|c6	F	2	3
JPHB01000020|c1	F	3	4
AORV01000026|c1	F	1	2
CP009548|c1	F	10	13
CP007244|c6	F	9	14
CP007244|c5	F	5	11
JX014302|c1	T	4	5
LELF01000067|c7	F	1	3
CP004002|c4	F	3	3
JQDO01000052|c1	F	3	3
CP004002|c9	F	8	11
LMLV01000031|c1	F	2	8
CIAV01000005|c1	F	8	11
JPZX01000020|c1	F	3	4
CSOW01000021|c1	F	8	10
JOUA01000008|c4	F	3	3
CSRJ01000005|c3	F	3	3
JSZE01000081|c1	F	1	2
JOUA01000008|c9	F	3	3
CHTU01000001|c2	F	10	16
CFZL01000018|c1	F	8	10
CIGX01000017|c1	F	8	10
AHCD02000148|c1	F	4	4
CSKF01000022|c1	F	3	3
AAYX01000003|c1	F	6	8
ADGS01000013|c1	F	10	16
CIHR01000005|c1	F	3	3
LGKJ01000153|c1	F	4	6
CP009536|c6	F	3	3
CIGK01000018|c1	F	3	3
JPWY01000019|c4	F	10	16
CSKV01000019|c1	F	3	3
JQHV01000023|c1	F	3	3
CP000673|c2	F	1	2
CP002207|c3	F	10	16
CSLP01000009|c1	F	8	11
JZDI01000001|c1	F	5	11
CSQA01000020|c1	F	8	10
AXRM01000017|c1	F	5	8
JOTW01000025|c1	F	3	4
ACXX02000001|c1	F	7	13
JPWR01000143|c1	F	2	2
CP000075|c9	F	5	6
AM746336|c1	T	4	13
EF552687|c1	T	9	12
JPZX01000013|c1	F	3	3
CAGD01000004|c1	F	1	2
CP000545|c3	F	3	5
AGFW01000009|c1	F	10	16
JSZE01000115|c1	F	2	2
AMXN01000003|c3	F	6	11
AMXN01000003|c2	F	8	10
JQEF01000029|c3	F	2	3
GG657754|c30	F	6	6
JPWQ01000138|c1	F	4	5
JPDT01002934|c1	F	0	2
HE774679|c11	F	11	14
JTHO01000003|c1	F	1	2
CP007242|c5	F	5	11
CP007242|c6	F	9	14
BAUO01000002|c1	F	8	10
JTHO01000007|c2	F	1	2
JPNP01000093|c1	F	3	3
CP002400|c1	F	1	3
FN689524|c1	F	8	12
AROY02000001|c2	F	1	2
JUDU01000055|c1	F	5	6
JTHO01000001|c1	F	6	8
LMGX01000018|c2	F	5	5
HE774679|c6	F	5	11
HE774679|c7	F	9	14
CP009679|c7	F	9	14
CP009679|c6	F	5	11
JOTX01000131|c1	F	2	2
CP000085|c10	F	2	3
AHRK01000050|c1	F	5	9
AQQJ01000003|c7	F	2	3
ACLU01000141|c1	F	3	4
CP011051|c11	F	8	9
AY688304|c1	T	5	6
CP006259|c27	F	4	13
CFVU01000030|c1	F	2	2
AHKH01000007|c1	F	2	3
CFWD01000004|c2	F	8	11
JPNV01000087|c2	F	3	3
GQ274953|c1	T	6	10
HE963103|c1	F	12	16
JRFP01000045|c1	F	3	3
CFWC01000003|c1	F	8	11
CSNM01000023|c1	F	3	3
FP565176|c6	F	2	2
CIJQ01000005|c3	F	3	3
JQFP01000041|c2	F	3	3
ACOJ01000001|c4	F	8	11
CP009546|c12	F	8	11
CSNB01000002|c1	F	3	3
JXAJ01000002|c4	F	10	16
JQDL01000051|c2	F	6	8
CP000125|c1	F	3	3
CSME01000019|c1	F	8	10
JQ768045|c1	F	0	5
CBSY010000216|c1	F	3	3
CIBL01000018|c1	F	8	10
JOTT01000049|c3	F	3	3
JYBJ01000001|c1	F	3	3
JMEF01000012|c1	F	10	13
LGUH01000004|c2	F	10	16
CP008783|c10	F	9	11
CTRP01000002|c1	F	2	2
CSSE01000023|c1	F	3	3
CSKJ01000001|c4	F	8	11
LJDI01000007|c1	F	9	14
AHJC01000186|c1	F	3	3
CP000076|c4	F	13	16
LMPN01000003|c3	F	1	2
CSKY01000020|c1	F	3	3
AGSW01000116|c1	F	4	6
CGEV01000021|c1	F	8	10
AHDJ01000055|c1	F	3	3
JRFO01000005|c2	F	1	11
CH899718|c2	F	3	5
JRFO01000005|c1	F	2	3
AHRL01000038|c1	F	1	3
CP009338|c5	F	2	3
CP009338|c2	F	7	10
JQHQ01000112|c1	F	6	8
LMFW01000001|c3	F	3	3
CFVI01000020|c1	F	2	3
CP009749|c11	F	10	14
CIHR01000017|c1	F	8	10
CP011347|c12	F	3	7
CFXG01000017|c1	F	8	10
AHRR01000015|c1	F	5	9
AUSV01000137|c1	F	8	12
AWUK01000050|c1	F	2	3
JQHU01000166|c1	F	3	4
CSMO01000002|c1	F	3	3
JYBH01000045|c2	F	6	8
AFSU01000053|c1	F	6	6
JPUY01000004|c5	F	3	3
JPPY01000183|c1	F	3	4
CHFC01000020|c1	F	3	3
AOGU01000018|c1	F	3	3
JGVN01000004|c1	F	11	14
CGFU01000020|c1	F	8	10
LGAT01000004|c1	F	9	14
CP004065|c8	F	6	11
CP004065|c7	F	9	14
CP004065|c3	F	10	14
CSMO01000021|c1	F	8	10
JWIC01000003|c3	F	4	4
AMQU01000018|c1	F	2	2
GL877172|c32	F	7	9
AHRL01000011|c1	F	6	6
ACNH01000168|c1	F	3	3
CP004024|c9	F	3	5
AJRJ01000087|c1	F	3	3
AWUJ01000024|c1	F	2	3
CFNO01000001|c1	F	8	11
LGJF01000001|c3	F	10	13
CP003065|c2	F	1	5
LGJF01000001|c7	F	1	2
AHJA01000154|c1	F	2	3
CHFC01000005|c2	F	8	11
CYHL01000056|c1	F	4	4
CP009477|c9	F	8	11
CP009477|c4	F	3	3
CP009602|c8	F	2	3
CXWA01000005|c1	F	8	12
CP009602|c5	F	11	17
BX571966|c4	F	3	3
CP001037|c12	F	1	2
CSNB01000018|c1	F	8	10
CFVV01000022|c1	F	8	10
CFNO01000020|c1	F	2	3
ATMS01000014|c1	F	2	6
JWTE02000034|c1	F	2	4
JPGO01000137|c1	F	2	3
CM001466|c4	F	8	13
CP009473|c8	F	3	3
CFVW01000004|c1	F	8	11
AVPM01000001|c1	F	10	16
AYLO01000162|c1	F	2	3
CP000560|c7	F	9	14
CP000560|c6	F	5	11
JUDU01000063|c1	F	3	9
CP010434|c5	F	10	16
CP010974|c8	F	8	11
CFVX01000021|c1	F	2	3
JYBJ01000026|c3	F	2	3
JQOB01000006|c5	F	3	3
CSKU01000022|c1	F	3	3
CFVW01000022|c1	F	3	3
CIGP01000007|c1	F	8	11
CP003422|c2	F	5	7
CP010406|c11	F	10	14
CSLF01000001|c1	F	8	11
ACXX02000004|c1	F	3	6
CP011346|c8	F	9	14
