	Leafname	GenbkID	KS_index	ClusterID	Clade
14	AAHO01000060|c1|1-3276||BMAGB8_A1355|putative_polyketide_synthase_PksL_PKS|EEP84582|868-1092|KS1|KS4	AAHO01000060	KS4	c1	Clade_82
15	AAHO01000060|c1|11460-16796||BMAGB8_A1357|polyketide_synthase|EEP84584|777-1201|KS1|KS1	AAHO01000060	KS1	c1	Clade_8
16	AAHO01000060|c1|26048-27292|+|BMAGB8_A1369|polyketide_beta-ketoacyl_synthase_PksF|EEP84596|9-414|KS1|KS1b	AAHO01000060	KS1b	c1	Clade_89
17	AAHO01000060|c1|3266-11437||BMAGB8_A1356|putative_polyketide_synthase_PksL_PKS|EEP84583|1336-1765|KS1|KS2	AAHO01000060	KS2	c1	Clade_60
18	AAHO01000060|c1|3266-11437||BMAGB8_A1356|putative_polyketide_synthase_PksL_PKS|EEP84583|2181-2612|KS2|KS3	AAHO01000060	KS3	c1	Clade_54
19	AAHO01000085|c1|1102-13416|+|BMAGB8_A1646|polyketide_synthase_type_I|EEP83891|190-612|KS1|KS1	AAHO01000085	KS1	c1	clade_not_conserved
20	AAHO01000085|c1|1102-13416|+|BMAGB8_A1646|polyketide_synthase_type_I|EEP83891|2159-2571|KS2|KS2	AAHO01000085	KS2	c1	Clade_47
21	AAYX01000003|c1|13861-31596||BURPS305_5015|Putative_polyketide_synthase_pksL|EBA49836|2367-2796|KS2|KS5	AAYX01000003	KS5	c1	Clade_62
22	AAYX01000003|c1|13861-31596||BURPS305_5015|Putative_polyketide_synthase_pksL|EBA49836|3432-3853|KS3|KS6	AAYX01000003	KS6	c1	Clade_82
23	AAYX01000003|c1|13861-31596||BURPS305_5015|Putative_polyketide_synthase_pksL|EBA49836|5161-5551|KS4|KS7	AAYX01000003	KS7	c1	Clade_80
24	AAYX01000003|c1|13861-31596||BURPS305_5015|Putative_polyketide_synthase_pksL|EBA49836|873-1294|KS1|KS4	AAYX01000003	KS4	c1	Clade_82
25	AAYX01000003|c1|31586-45205||BURPS305_5016|polyketide_synthase_type_I|EBA49894|3146-3575|KS2|KS2	AAYX01000003	KS2	c1	Clade_60
26	AAYX01000003|c1|31586-45205||BURPS305_5016|polyketide_synthase_type_I|EBA49894|3997-4428|KS3|KS3	AAYX01000003	KS3	c1	Clade_54
27	AAYX01000003|c1|31586-45205||BURPS305_5016|polyketide_synthase_type_I|EBA49894|794-1218|KS1|KS1	AAYX01000003	KS1	c1	Clade_8
28	AAYX01000003|c1|53098-54342|+|BURPS305_5029|Putative_polyketide_beta-ketoacyl_synthase|EBA49874|9-414|KS1|KS1b	AAYX01000003	KS1b	c1	Clade_89
29	AAYX01000006|c1|7046-19423|+|BURPS305_3334|polyketide_synthase|EBA47776|171-593|KS1|KS1	AAYX01000006	KS1	c1	clade_not_conserved
30	AAYX01000006|c1|7046-19423|+|BURPS305_3334|polyketide_synthase|EBA47776|2177-2589|KS2|KS2	AAYX01000006	KS2	c1	Clade_47
31	AB283030|c1|18576-26345||no_locus_tag|hybrid_non_ribosomal_peptide_synthetase-polyketide_synthase|BAF50720|1907-2343|KS1|KS8	AB283030	KS8	c1	Clade_75
32	AB283030|c1|26368-29991||no_locus_tag|hybrid_non_ribosomal_peptide_synthetase-polyketide_synthase|BAF50721|478-900|KS1|KS7	AB283030	KS7	c1	Clade_51
33	AB283030|c1|29985-32228||no_locus_tag|polyketide_synthase|BAF50722|1-395|KS1|KS6	AB283030	KS6	c1	Clade_81
34	AB283030|c1|35429-36769||no_locus_tag|alpha-ketoacyl-acyl_carrier_protein|BAF50726|13-430|KS1|KS5	AB283030	KS5	c1	Clade_33
35	AB283030|c1|37068-57962||no_locus_tag|hybrid_polyketide_synthase-non_ribosomal_peptide_synthetase|BAF50727|18-443|KS1|KS1	AB283030	KS1	c1	Clade_9
36	AB283030|c1|37068-57962||no_locus_tag|hybrid_polyketide_synthase-non_ribosomal_peptide_synthetase|BAF50727|1931-2364|KS2|KS2	AB283030	KS2	c1	Clade_48
37	AB283030|c1|37068-57962||no_locus_tag|hybrid_polyketide_synthase-non_ribosomal_peptide_synthetase|BAF50727|4554-4971|KS3|KS3	AB283030	KS3	c1	Clade_2
38	AB283030|c1|37068-57962||no_locus_tag|hybrid_polyketide_synthase-non_ribosomal_peptide_synthetase|BAF50727|6005-6439|KS4|KS4	AB283030	KS4	c1	Clade_66
39	ABCS01000005|c1|161498-168742||PPSIR1_30415|non-ribosomal_peptide_synthase_polyketide_synthase_Ta1|EDM81217|1458-1867|KS2|KS4	ABCS01000005	KS4	c1	clade_not_conserved
40	ABCS01000005|c1|161498-168742||PPSIR1_30415|non-ribosomal_peptide_synthase_polyketide_synthase_Ta1|EDM81217|30-467|KS1|KS3	ABCS01000005	KS3	c1	Clade_48
41	ABCS01000005|c1|168739-181010||PPSIR1_30420|nonribosomal_peptide_synthase|EDM81218|2415-2852|KS2|KS2	ABCS01000005	KS2	c1	clade_not_conserved
42	ABCS01000005|c1|168739-181010||PPSIR1_30420|nonribosomal_peptide_synthase|EDM81218|840-1269|KS1|KS1	ABCS01000005	KS1	c1	clade_not_conserved
43	ABCS01000133|c1|1-4210||PPSIR1_30429|mixed_type_I_polyketide_synthase_-_peptide_synthetase|EDM74390|407-836|KS1|KS5	ABCS01000133	KS5	c1	Clade_91
44	ABCS01000133|c1|17504-23154||PPSIR1_30439|polyketide_synthase_of_type_I|EDM74392|127-559|KS1|KS1	ABCS01000133	KS1	c1	Clade_66
45	ABCS01000133|c1|17504-23154||PPSIR1_30439|polyketide_synthase_of_type_I|EDM74392|1420-1837|KS2|KS2	ABCS01000133	KS2	c1	Clade_4
46	ABCS01000133|c1|4212-17585||PPSIR1_30434|polyketide_synthase|EDM74391|2474-2912|KS2|KS4	ABCS01000133	KS4	c1	Clade_48
47	ABCS01000133|c1|4212-17585||PPSIR1_30434|polyketide_synthase|EDM74391|947-1367|KS1|KS3	ABCS01000133	KS3	c1	Clade_66
48	ABIB01000015|c1|12664-24390|+|KAOT1_04300|polyketide_synthase_of_type_I|EDP94607|1686-2119|KS2|KS3	ABIB01000015	KS3	c1	Clade_54
49	ABIB01000015|c1|12664-24390|+|KAOT1_04300|polyketide_synthase_of_type_I|EDP94607|3186-3608|KS3|KS4	ABIB01000015	KS4	c1	Clade_82
50	ABIB01000015|c1|12664-24390|+|KAOT1_04300|polyketide_synthase_of_type_I|EDP94607|524-942|KS1|KS2	ABIB01000015	KS2	c1	Clade_8
51	ABIB01000015|c1|1790-5536|+|KAOT1_04270|polyketide_synthase_of_type_I|EDP94601|210-642|KS1|KS1	ABIB01000015	KS1	c1	Clade_36
52	ABIB01000015|c1|24579-36755|+|KAOT1_04305|polyketide_synthase|EDP94608|1141-1558|KS1|KS5	ABIB01000015	KS5	c1	Clade_47
53	ABIB01000015|c1|24579-36755|+|KAOT1_04305|polyketide_synthase|EDP94608|3105-3527|KS2|KS6	ABIB01000015	KS6	c1	Clade_87
54	ABIB01000015|c1|36764-46588|+|KAOT1_04310|polyketide_synthase_of_type_I|EDP94609|2564-2986|KS2|KS8	ABIB01000015	KS8	c1	Clade_87
55	ABIB01000015|c1|36764-46588|+|KAOT1_04310|polyketide_synthase_of_type_I|EDP94609|614-1033|KS1|KS7	ABIB01000015	KS7	c1	Clade_62
56	ABIB01000015|c1|46648-52725|+|KAOT1_04315|polyketide_synthase_of_type_I|EDP94610|925-1344|KS1|KS9	ABIB01000015	KS9	c1	Clade_62
57	ABIB01000015|c1|52793-59740|+|KAOT1_04320|polyketide_synthase|EDP94611|1410-1842|KS2|KS11	ABIB01000015	KS11	c1	clade_not_conserved
58	ABIB01000015|c1|52793-59740|+|KAOT1_04320|polyketide_synthase|EDP94611|165-590|KS1|KS10	ABIB01000015	KS10	c1	Clade_82
59	ABIB01000015|c1|59772-63803|+|KAOT1_04325|polyketide_synthase_of_type_I|EDP94612|779-1194|KS1|KS12	ABIB01000015	KS12	c1	Clade_12
60	ABIB01000015|c1|68951-70228|+|KAOT1_04360|beta-ketoacyl-ACP_synthase|EDP94619|7-425|KS1|KS13	ABIB01000015	KS13	c1	Clade_33
61	ABIB01000020|c1|45531-56099|+|KAOT1_04255|keto-hydroxyglutarate-aldolase_keto-deoxy-_phosphogluconate_aldolase|EDP94334|1019-1443|KS1|KS1	ABIB01000020	KS1	c1	clade_not_conserved
62	ABIB01000020|c1|45531-56099|+|KAOT1_04255|keto-hydroxyglutarate-aldolase_keto-deoxy-_phosphogluconate_aldolase|EDP94334|2583-3019|KS2|KS2	ABIB01000020	KS2	c1	Clade_26
63	ACCE01000001|c3|428831-433504||BUC_5634|polyketide_synthase_type_I|EEC38233|952-1380|KS1|KS10	ACCE01000001	KS10	c3	Clade_60
64	ACCE01000001|c3|433488-448658||BUC_5633|non-ribosomal_peptide_synthase|EEC37856|1175-1600|KS1|KS8	ACCE01000001	KS8	c3	clade_not_conserved
65	ACCE01000001|c3|433488-448658||BUC_5633|non-ribosomal_peptide_synthase|EEC37856|2744-3182|KS2|KS9	ACCE01000001	KS9	c3	Clade_12
66	ACCE01000001|c3|448655-456361||BUC_5632|methyltransferase_family_protein|EEC38436|106-527|KS1|KS6	ACCE01000001	KS6	c3	Clade_82
67	ACCE01000001|c3|448655-456361||BUC_5632|methyltransferase_family_protein|EEC38436|1830-2220|KS2|KS7	ACCE01000001	KS7	c3	Clade_80
68	ACCE01000001|c3|457858-466362||BUC_5629|KR_domain_protein|EEC38218|2380-2829|KS2|KS5	ACCE01000001	KS5	c3	Clade_62
69	ACCE01000001|c3|457858-466362||BUC_5629|KR_domain_protein|EEC38218|874-1295|KS1|KS4	ACCE01000001	KS4	c3	Clade_82
70	ACCE01000001|c3|466352-479995||BUC_5628|beta-ketoacyl_synthase|EEC38036|3162-3591|KS2|KS2	ACCE01000001	KS2	c3	Clade_60
71	ACCE01000001|c3|466352-479995||BUC_5628|beta-ketoacyl_synthase|EEC38036|4005-4436|KS3|KS3	ACCE01000001	KS3	c3	Clade_54
72	ACCE01000001|c3|466352-479995||BUC_5628|beta-ketoacyl_synthase|EEC38036|810-1234|KS1|KS1	ACCE01000001	KS1	c3	Clade_8
73	ACCE01000001|c3|487831-489075|+|BUC_5616|putative_polyketide_beta-ketoacyl_synthase|EEC38677|9-414|KS1|KS1b	ACCE01000001	KS1b	c3	Clade_89
74	ACCE01000006|c1|47352-54869|+|BUC_4592|AMP-binding_enzyme_domain_protein|EEC33980|917-1361|KS1|KS1	ACCE01000006	KS1	c1	Clade_2
75	ACCE01000006|c1|61375-73740|+|BUC_4584|polyketide_synthase|EEC34158|171-593|KS1|KS2	ACCE01000006	KS2	c1	clade_not_conserved
76	ACCE01000006|c1|61375-73740|+|BUC_4584|polyketide_synthase|EEC34158|2180-2592|KS2|KS3	ACCE01000006	KS3	c1	Clade_47
77	ACKA01000022|c1|8638-21009|+|BUH_4720|polyketide_synthase|EEH29174|171-593|KS1|KS1	ACKA01000022	KS1	c1	clade_not_conserved
78	ACKA01000022|c1|8638-21009|+|BUH_4720|polyketide_synthase|EEH29174|2180-2592|KS2|KS2	ACKA01000022	KS2	c1	Clade_47
79	ACKA01000024|c1|12135-16838||BUH_5724|polyketide_synthase_type_I|EEH28657|961-1389|KS1|KS9	ACKA01000024	KS9	c1	Clade_60
80	ACKA01000024|c1|16822-31998||BUH_5723|non-ribosomal_peptide_synthase|EEH28651|1175-1600|KS1|KS7	ACKA01000024	KS7	c1	clade_not_conserved
81	ACKA01000024|c1|16822-31998||BUH_5723|non-ribosomal_peptide_synthase|EEH28651|2756-3194|KS2|KS8	ACKA01000024	KS8	c1	Clade_12
82	ACKA01000024|c1|31995-45395||BUH_5722|polyketide_synthase_type_I|EEH28664|1974-2395|KS2|KS5	ACKA01000024	KS5	c1	Clade_82
83	ACKA01000024|c1|31995-45395||BUH_5722|polyketide_synthase_type_I|EEH28664|3719-4109|KS3|KS6	ACKA01000024	KS6	c1	Clade_80
84	ACKA01000024|c1|31995-45395||BUH_5722|polyketide_synthase_type_I|EEH28664|860-1289|KS1|KS4	ACKA01000024	KS4	c1	Clade_62
85	ACKA01000024|c1|45362-46936||BUH_5721|polyketide_synthase_type_I|EEH28652|1-303|KS1|KS3	ACKA01000024	KS3	c1	Clade_82
86	ACKA01000024|c1|49760-59091||BUH_5719|putative_polyketide_synthase_PksL_PKS|EEH28660|1704-2133|KS1|KS1	ACKA01000024	KS1	c1	Clade_60
87	ACKA01000024|c1|49760-59091||BUH_5719|putative_polyketide_synthase_PksL_PKS|EEH28660|2567-2998|KS2|KS2	ACKA01000024	KS2	c1	Clade_54
88	ACLU01000141|c1|12681-20330||bcere0004_54080|hypothetical_protein|EEK53295|164-598|KS1|KS1	ACLU01000141	KS1	c1	Clade_27
89	ACLU01000141|c1|12681-20330||bcere0004_54080|hypothetical_protein|EEK53295|1815-2234|KS2|KS2	ACLU01000141	KS2	c1	clade_not_conserved
90	ACLU01000141|c1|2148-12674||bcere0004_54070|hypothetical_protein|EEK53294|1133-1569|KS1|KS3	ACLU01000141	KS3	c1	Clade_30
91	ACLU01000141|c1|2148-12674||bcere0004_54070|hypothetical_protein|EEK53294|3074-3503|KS2|KS4	ACLU01000141	KS4	c1	clade_not_conserved
92	ACLU01000171|c1|12587-21214||bcere0004_55950|DszB_DisB_protein|EEK53065|2119-2552|KS2|KS3	ACLU01000171	KS3	c1	clade_not_conserved
93	ACLU01000171|c1|12587-21214||bcere0004_55950|DszB_DisB_protein|EEK53065|504-932|KS1|KS2	ACLU01000171	KS2	c1	Clade_65
94	ACLU01000171|c1|21504-27848||bcere0004_55960|Polyketide_synthase|EEK53066|1221-1645|KS1|KS1	ACLU01000171	KS1	c1	clade_not_conserved
95	ACNH01000126|c1|140-8530|+|bthur0010_55320|hypothetical_protein|EEM74453|2062-2481|KS2|KS2	ACNH01000126	KS2	c1	clade_not_conserved
96	ACNH01000126|c1|140-8530|+|bthur0010_55320|hypothetical_protein|EEM74453|411-845|KS1|KS1	ACNH01000126	KS1	c1	Clade_27
97	ACNH01000126|c1|8537-19063|+|bthur0010_55330|hypothetical_protein|EEM74454|1133-1569|KS1|KS3	ACNH01000126	KS3	c1	Clade_30
98	ACNH01000126|c1|8537-19063|+|bthur0010_55330|hypothetical_protein|EEM74454|3074-3503|KS2|KS4	ACNH01000126	KS4	c1	clade_not_conserved
99	ACNH01000168|c1|12887-18862|+|bthur0010_59270|Polyketide_synthase|EEM74088|1098-1522|KS1|KS1	ACNH01000168	KS1	c1	clade_not_conserved
100	ACNH01000168|c1|19152-27779|+|bthur0010_59280|DszB_DisB_protein|EEM74089|2119-2552|KS2|KS3	ACNH01000168	KS3	c1	clade_not_conserved
101	ACNH01000168|c1|19152-27779|+|bthur0010_59280|DszB_DisB_protein|EEM74089|504-932|KS1|KS2	ACNH01000168	KS2	c1	Clade_65
102	ACNI01000155|c1|13245-18059|+|bthur0011_53590|Beta-ketoacyl_synthase|EEM80629|39-470|KS1|KS2	ACNI01000155	KS2	c1	clade_not_conserved
103	ACNI01000155|c1|19704-26354|+|bthur0011_53610|hybrid_nonribosomal_peptide_synthetase_polyketide_synthase|EEM80631|43-462|KS1|KS3	ACNI01000155	KS3	c1	clade_not_conserved
104	ACNI01000155|c1|8139-12968|+|bthur0011_53580|Beta-ketoacyl_synthase|EEM80628|42-472|KS1|KS1	ACNI01000155	KS1	c1	clade_not_conserved
105	ACOJ01000001|c13|2948523-2960918||GBP346_B3104|polyketide_synthase_type_I|EEP51912|171-593|KS1|KS2	ACOJ01000001	KS2	c13	clade_not_conserved
106	ACOJ01000001|c13|2948523-2960918||GBP346_B3104|polyketide_synthase_type_I|EEP51912|2183-2595|KS2|KS3	ACOJ01000001	KS3	c13	Clade_47
107	ACOJ01000001|c13|2966443-2974932||GBP346_B3111|thiotemplate_mechanism_natural_product_synthetase|EEP49312|917-1361|KS1|KS1	ACOJ01000001	KS1	c13	Clade_2
108	ACOJ01000001|c4|639480-640724||GBP346_B0711|putative_polyketide_beta-ketoacyl_synthase|EEP51202|9-414|KS1|KS1b	ACOJ01000001	KS1b	c4	Clade_89
109	ACOJ01000001|c4|648625-662328|+|GBP346_B0724|putative_polyketide_synthase_PksL_PKS|EEP52150|3174-3603|KS2|KS2	ACOJ01000001	KS2	c4	Clade_60
110	ACOJ01000001|c4|648625-662328|+|GBP346_B0724|putative_polyketide_synthase_PksL_PKS|EEP52150|4025-4456|KS3|KS3	ACOJ01000001	KS3	c4	Clade_54
111	ACOJ01000001|c4|648625-662328|+|GBP346_B0724|putative_polyketide_synthase_PksL_PKS|EEP52150|803-1227|KS1|KS1	ACOJ01000001	KS1	c4	Clade_8
112	ACOJ01000001|c4|662318-680002|+|GBP346_B0725|polyketide_synthase_type_I|EEP51436|2311-2740|KS2|KS5	ACOJ01000001	KS5	c4	Clade_62
113	ACOJ01000001|c4|662318-680002|+|GBP346_B0725|polyketide_synthase_type_I|EEP51436|3385-3806|KS3|KS6	ACOJ01000001	KS6	c4	Clade_82
114	ACOJ01000001|c4|662318-680002|+|GBP346_B0725|polyketide_synthase_type_I|EEP51436|5138-5528|KS4|KS7	ACOJ01000001	KS7	c4	Clade_80
115	ACOJ01000001|c4|662318-680002|+|GBP346_B0725|polyketide_synthase_type_I|EEP51436|821-1242|KS1|KS4	ACOJ01000001	KS4	c4	Clade_82
116	ACOJ01000001|c4|679999-695160|+|GBP346_B0726|putative_polyketide_synthase_PksJ_PKS|EEP49361|1175-1600|KS1|KS8	ACOJ01000001	KS8	c4	clade_not_conserved
117	ACOJ01000001|c4|679999-695160|+|GBP346_B0726|putative_polyketide_synthase_PksJ_PKS|EEP49361|2750-3188|KS2|KS9	ACOJ01000001	KS9	c4	Clade_12
118	ACOJ01000001|c4|695144-699784|+|GBP346_B0727|polyketide_synthase_type_I|EEP52025|941-1369|KS1|KS10	ACOJ01000001	KS10	c4	Clade_60
119	ACXX02000001|c1|37949-40210|+|Cpap_3705|Beta-ketoacyl_synthase|EGD49273|24-429|KS1|KS1	ACXX02000001	KS1	c1	Clade_36
120	ACXX02000001|c1|48008-55351|+|Cpap_3712|6-deoxyerythronolide-B_synthase|EGD49280|11-436|KS1|KS2	ACXX02000001	KS2	c1	Clade_41
121	ACXX02000001|c1|48008-55351|+|Cpap_3712|6-deoxyerythronolide-B_synthase|EGD49280|1517-1944|KS2|KS3	ACXX02000001	KS3	c1	clade_not_conserved
122	ACXX02000001|c1|55394-60100|+|Cpap_3713|6-deoxyerythronolide-B_synthase|EGD49281|659-1082|KS1|KS4	ACXX02000001	KS4	c1	clade_not_conserved
123	ACXX02000001|c1|60090-66965|+|Cpap_3714|6-deoxyerythronolide-B_synthase._Beta-ketoacyl-acyl-carrier-protein_synthase_I|EGD49282|1827-2243|KS2|KS6	ACXX02000001	KS6	c1	Clade_4
124	ACXX02000001|c1|60090-66965|+|Cpap_3714|6-deoxyerythronolide-B_synthase._Beta-ketoacyl-acyl-carrier-protein_synthase_I|EGD49282|652-1075|KS1|KS5	ACXX02000001	KS5	c1	Clade_65
125	ACXX02000001|c1|66996-71966|+|Cpap_3715|6-deoxyerythronolide-B_synthase|EGD49283|924-1343|KS1|KS7	ACXX02000001	KS7	c1	Clade_65
126	ACXX02000001|c1|71969-75775|+|Cpap_3716|6-deoxyerythronolide-B_synthase|EGD49284|622-1062|KS1|KS8	ACXX02000001	KS8	c1	clade_not_conserved
127	ACXX02000001|c1|76673-84751|+|Cpap_3718|6-deoxyerythronolide-B_synthase|EGD49286|1817-2247|KS2|KS10	ACXX02000001	KS10	c1	clade_not_conserved
128	ACXX02000001|c1|76673-84751|+|Cpap_3718|6-deoxyerythronolide-B_synthase|EGD49286|783-1214|KS1|KS9	ACXX02000001	KS9	c1	clade_not_conserved
129	ACXX02000001|c1|84770-96691|+|Cpap_3719|KR_domain_protein|EGD49287|1646-2077|KS2|KS12	ACXX02000001	KS12	c1	Clade_65
130	ACXX02000001|c1|84770-96691|+|Cpap_3719|KR_domain_protein|EGD49287|3169-3593|KS3|KS13	ACXX02000001	KS13	c1	clade_not_conserved
131	ACXX02000001|c1|84770-96691|+|Cpap_3719|KR_domain_protein|EGD49287|622-1048|KS1|KS11	ACXX02000001	KS11	c1	Clade_65
132	ACXX02000003|c1|462858-467519|+|Cpap_3272|6-deoxyerythronolide-B_synthase|EGD48846|139-562|KS1|KS1	ACXX02000003	KS1	c1	clade_not_conserved
133	ACXX02000003|c1|467574-471833|+|Cpap_3273|6-deoxyerythronolide-B_synthase|EGD48847|567-981|KS1|KS2	ACXX02000003	KS2	c1	Clade_93
134	ACXX02000004|c1|299482-308250|+|Cpap_2598|Beta-ketoacyl_synthase|EGD48445|10-432|KS1|KS1	ACXX02000004	KS1	c1	clade_not_conserved
135	ACXX02000004|c1|299482-308250|+|Cpap_2598|Beta-ketoacyl_synthase|EGD48445|1746-2166|KS2|KS2	ACXX02000004	KS2	c1	clade_not_conserved
136	ACXX02000004|c1|308273-320419|+|Cpap_2599|Acyl_transferase|EGD48446|2291-2709|KS2|KS3	ACXX02000004	KS3	c1	clade_not_conserved
137	ACXX02000004|c1|320416-330363|+|Cpap_2600|6-deoxyerythronolide-B_synthase|EGD48447|1878-2297|KS2|KS4	ACXX02000004	KS4	c1	clade_not_conserved
138	ACXX02000004|c1|330423-342082|+|Cpap_2601|Beta-ketoacyl_synthase|EGD48448|1903-2323|KS2|KS5	ACXX02000004	KS5	c1	clade_not_conserved
139	ACXX02000004|c1|330423-342082|+|Cpap_2601|Beta-ketoacyl_synthase|EGD48448|3340-3766|KS3|KS6	ACXX02000004	KS6	c1	clade_not_conserved
140	ACXX02000005|c1|86972-89338||Cpap_2679|6-deoxyerythronolide-B_synthase|EGD47993|40-477|KS1|KS3	ACXX02000005	KS3	c1	clade_not_conserved
141	ACXX02000005|c1|89338-94095||Cpap_2680|6-deoxyerythronolide-B_synthase|EGD47994|31-458|KS1|KS2	ACXX02000005	KS2	c1	clade_not_conserved
142	ACXX02000005|c1|94450-100659||Cpap_2682|amino_acid_adenylation_domain_protein|EGD47996|12-428|KS1|KS1	ACXX02000005	KS1	c1	clade_not_conserved
143	ACXX02000007|c1|14210-15445|+|Cpap_1682|Beta-ketoacyl_synthase|EGD47494|12-411|KS1|KS4	ACXX02000007	KS4	c1	clade_not_conserved
144	ACXX02000007|c1|4542-9884|+|Cpap_1680|6-deoxyerythronolide-B_synthase|EGD47492|1315-1725|KS2|KS2	ACXX02000007	KS2	c1	Clade_3
145	ACXX02000007|c1|4542-9884|+|Cpap_1680|6-deoxyerythronolide-B_synthase|EGD47492|59-481|KS1|KS1	ACXX02000007	KS1	c1	Clade_82
146	ACXX02000007|c1|9868-14187|+|Cpap_1681|Beta-ketoacyl_synthase|EGD47493|422-853|KS1|KS3	ACXX02000007	KS3	c1	Clade_74
147	ACXX02000007|c2|167698-182898||Cpap_1809|AMP-dependent_synthetase_and_ligase|EGD47615|2418-2842|KS2|KS2	ACXX02000007	KS2	c2	Clade_65
148	ACXX02000007|c2|167698-182898||Cpap_1809|AMP-dependent_synthetase_and_ligase|EGD47615|3934-4365|KS3|KS3	ACXX02000007	KS3	c2	Clade_65
149	ACXX02000007|c2|167698-182898||Cpap_1809|AMP-dependent_synthetase_and_ligase|EGD47615|928-1352|KS1|KS1	ACXX02000007	KS1	c2	clade_not_conserved
150	ACXX02000024|c1|1-6613|+|Cpap_0078|Beta-ketoacyl_synthase|EGD45656|1564-1997|KS2|KS2	ACXX02000024	KS2	c1	Clade_72
151	ACXX02000024|c1|1-6613|+|Cpap_0078|Beta-ketoacyl_synthase|EGD45656|485-921|KS1|KS1	ACXX02000024	KS1	c1	Clade_12
152	ACXX02000024|c1|6617-22852|+|Cpap_0079|Mycocerosate_synthase._6-deoxyerythronolide-B_synthase|EGD45657|1741-2159|KS2|KS4	ACXX02000024	KS4	c1	Clade_79
153	ACXX02000024|c1|6617-22852|+|Cpap_0079|Mycocerosate_synthase._6-deoxyerythronolide-B_synthase|EGD45657|2815-3228|KS3|KS5	ACXX02000024	KS5	c1	Clade_83
154	ACXX02000024|c1|6617-22852|+|Cpap_0079|Mycocerosate_synthase._6-deoxyerythronolide-B_synthase|EGD45657|4742-5179|KS4|KS6	ACXX02000024	KS6	c1	Clade_54
155	ACXX02000024|c1|6617-22852|+|Cpap_0079|Mycocerosate_synthase._6-deoxyerythronolide-B_synthase|EGD45657|484-907|KS1|KS3	ACXX02000024	KS3	c1	Clade_5
156	ACXX02000026|c1|1-5092|+|Cpap_0010|6-deoxyerythronolide-B_synthase|EGD45651|343-761|KS1|KS1	ACXX02000026	KS1	c1	Clade_78
157	ACXX02000026|c1|5104-10310|+|Cpap_0011|Beta-ketoacyl_synthase|EGD45652|587-1005|KS1|KS2	ACXX02000026	KS2	c1	Clade_47
158	ADGS01000013|c1|118471-119688|+|BSU6633_07506|polyketide_beta-ketoacylacyl_carrier_protein_synthase|EFG92807|1-399|KS1|KS1	ADGS01000013	KS1	c1	clade_not_conserved
159	ADGS01000013|c1|122553-137693|+|BSU6633_07526|polyketide_synthase_of_type_I|EFG92811|1766-2191|KS1|KS2	ADGS01000013	KS2	c1	Clade_1
160	ADGS01000013|c1|122553-137693|+|BSU6633_07526|polyketide_synthase_of_type_I|EFG92811|3345-3784|KS2|KS3	ADGS01000013	KS3	c1	Clade_12
