	compd_KS_count	KS1	KS2	KS3	KS4	KS5	KS6	KS7	KS8	KS9	KS10	KS11	KS12	KS13	KS14	KS15	KS16	KS17	KS18	KS19	KS20	KS21	KS22	KS23	KS24	KS25	KS26	KS27	KS28	KS29	KS30	KS31	KS32	KS33	KS34	KS35	KS36	KS37	KS38	KS1b	KS2b	KS3b	KS4b	KS5b	KS6b	KS7b
dorrigocin_migrastatin|GQ274953	10	IV_b	II_c4	V	VI_c	XI_b	II_c3	XI_b	XI_b	VIII	VIII	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
elansolid_Cpin|CP001699	14	IV_a	II_d	XI_b	XI_b	II_c3	II_g	III_g	II_c5	III_f	II_c3	VI_c	VI_f	II_d	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
elansolid_Csan|HQ680975	14	IV_a	II_d	XI_b	XI_b	II_c3	II_g	III_g	II_c5	III_f	II_c3	VI_c	VI_f	II_d	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
enacyloxin|CP000442	9	NA	noInfo	noInfo	noInfo	noInfo	noInfo	noInfo	noInfo	noInfo	noInfo	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
etnangien|NC_010162	20	IV_b	XIII	VI_c	II_c3	II_c3	II_c3	II_g	XI_b	VI_c	III_f	VIII	III_f	VI_e	III_g	noInfo	II_c3	XI_b	VI_c	VI_c	III_f	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FR901464|HM047288	11	IV_e	III_b	III_e	I_a	XI_b	IX	II_d	II_c3	XII_a	III_a	noInfo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
griseoviridin|JX508597	7	IV_c	VI_b	I_a	II_c5	XIV	VI_b	III_c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iturin|AB050629	1	XVII	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kalimantacin_batumin|GU479979	11	IV_b	I_a	VI_f	VI_c	XIII	II_c3	III_h	II_c1	VIII	XIII	XIII	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kirromycin|AM746336	12	noInfo	XVIII	II_c5	noInfo	noInfo	noInfo	II_c5	II_c5	noInfo	VI_a	noInfo	II_c5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lankacidin|NC_004808	5	noInfo	II_d	II_c5	noInfo	noInfo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
legioliulin|NZ_CM001371	5	noInfo	II_c5	VI_a	noInfo	noInfo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
leinamycin|AF484556	7	III_c	II_c2	XVIII	II_c5	NA	II_d	noInfo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
luminaolid|KR857272	18	I_b	II_b	VI_d	XIV	II_c5	XI_c	XV	XI_a	VI_f	XV	III_b	VI_e	VI_c	III_h	II_c1	IX	VI_c	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
macrolactin|AJ634061	11	IV_d	VI_b	NA	II_c5	II_c5	VI_a	II_c5	XVIII	II_c5	II_c5	XVIII	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
malleilactone_burkholderic_acid|NC_007650	2	NA	II_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I_a	NA	NA	NA	NA	NA	NA
misakinolide|KR857273	19	IV_d	VI_a	VI_d	XIV	noInfo	XI_c	XV	XI_a	VI_f	XV	III_b	VI_e	VI_c	III_h	II_c1	IX	VI_c	II_d	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mupirocin|AF318063	10	III_a	VI_c	II_c3	II_c3	IV_c	XI_b	II_c3	XI_b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mycosubtilin|AF184956	1	XVII	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
myxovirescin|CP000113	12	I_a	VI_c	III_a	VI_c	VIII	II_g	II_c3	XIII	VIII	VIII	VIII	XI_b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nosperin|GQ979609	8	IV_b	VI_c	XII_b	III_a	I_a	III_d	II_a	III_b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
onnamide|AY688304	12	IV_b	VI_c	XII_b	III_a	I_a	VI_c	XV	IX	VI_f	III_d	II_a	II_c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
oocydin_Ddad|CP001654	16	IV_f	XII_b	VII	II_g	III_a	XVI	VI_f	IX	VIII	III_a	III_a	VIII	XV	II_c1	III_f	III_e	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
oocydin_Smar|JX315603	16	IV_f	XII_b	VII	II_g	III_a	XVI	VI_f	IX	VIII	III_a	III_a	VIII	XV	II_c1	III_f	III_e	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
oxazolomycin|EF552687	12	II_d	I_b	II_c5	III_h	II_c1	XV	III_b	VI_e	I_a	II_c5	II_e	I_a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pederin|AY328023	13	IV_b	VI_c	XII_b	III_a	I_a	VI_c	XV	IX	VI_f	VII	VIII	II_c3	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pederin|AY426537	13	IV_b	VI_c	XII_b	III_a	I_a	VI_c	XV	IX	VI_f	VII	VIII	II_c3	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phormidolide|ALVN01000014	15	IV_f	XII_b	VIII	VI_c	VI_c	XV	VI_c	II_g	III_a	XVI	VI_f	IX	XII_b	II_c3	III_e	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
psymberin|FJ823461	11	IV_b	XII_b	III_a	I_a	VI_c	XV	IX	XV	VI_f	X	noInfo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rhizopodin|FR854394	19	I_b	noInfo	VI_d	XIV	noInfo	XI_c	VI_d	XIV	XI_c	III_d	III_c	II_c2	VI_d	XIV	noInfo	II_c5	VI_d	XIV	III_a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rhizoxins|AM411073	16	III_a	III_c	II_c2	II_d	II_c3	II_d	XV	VI_c	XV	VIII	III_d	II_a	VI_f	II_c4	V	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seudotrienic_acid|AKJU01000004	9	II_c3	II_d	III_f	I_a	III_a	noInfo	II_c3	II_d	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sorangicin|HM584908	24	IV_b	VIII	XI_b	II_d	VI_f	II_g	III_h	III_d	IX	II_c3	VIII	II_d	XI_b	VI_f	XI_b	IX	II_c3	XI_b	VI_e	IX	II_c3	III_h	II_c3	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tartrolon|CP001614	11	IV_e	noInfo	XVIII	II_f	III_h	noInfo	noInfo	noInfo	VI_b	noInfo	noInfo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
thailandamide|CP000085	16	IV_c	VI_f	II_c3	III_a	I_a	II_c3	II_g	III_h	II_c1	X	VI_c	II_c3	II_g	II_c3	II_d	III_b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
thailanstatin|JX307851	11	IV_e	III_b	III_e	I_a	XI_b	IX	II_d	II_c3	VI_c	XII_a	III_a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tolytoxin|KR857271	19	I_b	II_b	VI_d	XIV	II_c5	XI_c	XV	XI_a	VI_f	XV	III_b	VI_e	VI_c	III_h	II_c1	IX	VI_c	II_d	III_d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
virginiamycin|AB283030	7	IV_c	VI_b	I_a	II_c5	XIV	VI_b	III_c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
calyculin|AB933566	30	XVIII	I_a	VIII	III_a	I_a	XI_b	III_a	III_c	II_c2	II_c3	III_a	noInfo	VIII	XV	III_b	VI_e	XI_b	III_a	VI_c	III_b	VI_e	XV	XV	II_d	II_g	II_c3	III_a	I_a	III_d	II_a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
