DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,Contig edge
Clostridium straminisolvens JCM 21531|BAVR01000001|c1,-1
Clostridium termitidis CT1112|AORV01000026|c1,-1
Pseudogulbenkiania ferrooxidans EGD-HP2|AVPH01000301|c1,1
Streptomyces albulus ZPM|CP006871|c18,-1
Burkholderia pseudomallei PB08298010|CP009550|c4,-1
Burkholderia pseudomallei|CHFI01000020|c1,-1
Burkholderia pseudomallei|LGKL01000026|c1,-1
Burkholderia pseudomallei|CGEW01000024|c1,-1
Burkholderia pseudomallei MSHR332|JQFM01000061|c1,-1
Burkholderia pseudomallei|JQIM01000009|c8,-1
Burkholderia pseudomallei|CGIB01000024|c1,-1
malleilactone,-1
Sporocytophaga myxococcoides|BBLT01000001|c2,-1
Brevibacillus sp Leaf182|LMPN01000003|c1,-1
Brevibacillus formosus|LDCN01000001|c1,-1
Paenibacillus dendritiformis C454|AHKH01000007|c1,-1
Paenibacillus larvae subsp larvae DSM 25430|CP003355|c3,-1
Paenibacillus riograndensis SBR5|LN831776|c1,-1
Clostridium cellulosi|LM995447|c3,-1
Ruminococcus sp CAG624|CBKC010000214|c1,-1
Clostridium termitidis CT1112|AORV01000016|c1,-1
Clostridium cellulolyticum H10|CP001348|c2,-1
Clostridium papyrosolvens C7|ATAY01000017|c1,-1
Burkholderia pseudomallei|CFZB01000025|c1,-1
Burkholderia pseudomallei|JZXP01000028|c3,-1
Burkholderia pseudomallei TSV32|JQHT01000069|c1,-1
Burkholderia thailandensis|CP008915|c9,-1
Burkholderia mallei|CP009943|c1,-1
Burkholderia pseudomallei|CSLP01000024|c1,-1
Burkholderia pseudomallei|CFXK01000021|c1,-1
Burkholderia pseudomallei 1026b|CP002834|c4,-1
Burkholderia thailandensis H0587|CP004090|c9,-1
Burkholderia pseudomallei|CGFJ01000023|c1,-1
Burkholderia pseudomallei 668|CP000571|c4,-1
Burkholderia mallei ATCC 23344|CP000011|c6,-1
Burkholderia pseudomallei|CIGV01000022|c1,-1
Burkholderia pseudomallei|CFWC01000023|c1,-1
Burkholderia pseudomallei MSHR146|CP004043|c2,-1
Burkholderia pseudomallei|CFXP01000004|c3,-1
Burkholderia pseudomallei MSHR2138|JRFM01000118|c1,-1
Burkholderia pseudomallei|CGEV01000018|c1,-1
Burkholderia pseudomallei 576|CP008778|c1,-1
Burkholderia pseudomallei|CFVK01000021|c1,-1
Burkholderia pseudomallei|CSQP01000025|c1,-1
Burkholderia pseudomallei|CFWD01000020|c1,-1
Burkholderia pseudomallei 1106b|CM000775|c9,-1
Burkholderia pseudomallei|CGHA01000021|c1,-1
Burkholderia pseudomallei K42|CP009163|c6,-1
Burkholderia pseudomallei MSHR7500|JREN01000080|c1,-1
Burkholderia pseudomallei MSHR4032|JPQL01000005|c10,-1
Burkholderia pseudomallei MSHR6137|AXDS01000036|c1,-1
Burkholderia pseudomallei MSHR4377|JPQH01000002|c6,-1
Burkholderia pseudomallei 1026a|AHJA01000090|c1,-1
Burkholderia pseudomallei|CSLK01000023|c1,-1
Burkholderia pseudomallei|CHKR01000019|c1,-1
Burkholderia pseudomallei|CSKJ01000023|c1,-1
Burkholderia pseudomallei K96243|BX571966|c4,-1
Burkholderia pseudomallei|CWJC01000011|c1,-1
Burkholderia pseudomallei MSHR3964|JPVD01000007|c6,-1
Burkholderia mallei|CP009338|c5,-1
Burkholderia pseudomallei|CSKK01000021|c1,-1
Burkholderia pseudomallei|CFWT01000023|c1,-1
Burkholderia pseudomallei|JPNV01000087|c2,-1
Burkholderia pseudomallei TSV 31|JPVE01000007|c1,-1
Burkholderia pseudomallei MSHR1000|JQEF01000029|c3,-1
Burkholderia pseudomallei 1258b|AHJC01000186|c1,-1
Burkholderia pseudomallei|CSNQ01000023|c1,-1
Burkholderia pseudomallei MSHR4000|JPVL01000011|c3,-1
Burkholderia pseudomallei 406e|CP009297|c5,-1
Burkholderia pseudomallei|CFVM01000021|c1,-1
Burkholderia pseudomallei MSHR4372|JPQJ01000004|c8,-1
Burkholderia pseudomallei|CSLM01000021|c1,-1
Burkholderia pseudomallei MSHR3016|JQEH01000046|c3,-1
Burkholderia mallei|LBFF01000094|c1,-1
Burkholderia pseudomallei TSV44|JQGX01000063|c1,-1
Burkholderia pseudomallei MSHR2243|CP009269|c6,-1
Burkholderia pseudomallei|CSSV01000021|c1,-1
Burkholderia pseudomallei MSHR3960|JPVJ01000009|c6,-1
Burkholderia pseudomallei MSHR4503|JPQN01000004|c10,-1
Burkholderia pseudomallei MSHR4003|JPUZ01000004|c9,-1
Burkholderia pseudomallei|CP008763|c10,-1
Burkholderia pseudomallei|CP009586|c9,-1
Burkholderia pseudomallei K96243|CP009537|c9,-1
Burkholderia mallei|CP008710|c4,-1
Burkholderia pseudomallei MSHR346|ACOJ01000001|c13,-1
Burkholderia pseudomallei MSHR4303|JPVM01000024|c1,-1
Burkholderia pseudomallei MSHR5858|CP008891|c4,-1
Burkholderia pseudomallei|CFZV01000023|c1,-1
Burkholderia mallei ATCC 10399|CH899683|c4,-1
Burkholderia pseudomallei|CSKF01000022|c1,-1
Burkholderia pseudomallei|CFWA01000005|c1,-1
Burkholderia pseudomallei|LK936443|c4,-1
Burkholderia pseudomallei|CFVS01000022|c1,-1
Burkholderia pseudomallei|CP009210|c5,-1
Burkholderia ubonensis MSMB22|CP009487|c3,-1
Burkholderia pseudomallei MSHR465J|JPZW01000008|c5,-1
Burkholderia pseudomallei|CFWG01000006|c1,-1
Burkholderia pseudomallei|JPNU01000055|c1,-1
Burkholderia mallei|JPGJ01000001|c4,-1
Burkholderia pseudomallei|CSLC01000017|c1,-1
Burkholderia pseudomallei|CSKA01000022|c1,-1
Burkholderia pseudomallei|CSLJ01000021|c1,-1
Burkholderia pseudomallei|CFWQ01000023|c1,-1
Burkholderia pseudomallei|CSPM01000023|c1,-1
Burkholderia pseudomallei|JYBH01000040|c2,-1
Burkholderia pseudomallei|CIAU01000022|c1,-1
Burkholderia pseudomallei 1710b|CP000125|c11,-1
Burkholderia pseudomallei MSHR7498|JQDH01000069|c1,-1
Burkholderia mallei NCTC 10247|CP007801|c10,-1
Burkholderia pseudomallei|CIGX01000005|c3,-1
Burkholderia pseudomallei|CGEZ01000024|c1,-1
Burkholderia pseudomallei|CSQC01000023|c1,-1
Burkholderia oklahomensis|CP008727|c6,-1
Burkholderia pseudomallei MSHR3335|JRFL01000007|c2,-1
Burkholderia pseudomallei|CSLI01000005|c1,-1
Burkholderia pseudomallei MSHR1043|AOGU01000014|c1,-1
Burkholderia pseudomallei MSHR1328|APNR01000005|c10,-1
Burkholderia thailandensis 2002721643|CP009602|c8,-1
Burkholderia mallei|JNOV01000093|c1,-1
Burkholderia pseudomallei|CSMB01000024|c1,-1
Burkholderia pseudomallei MSHR3709|JRFK01000111|c1,-1
Burkholderia pseudomallei MSHR5596|JQDE01000127|c1,-1
Burkholderia pseudomallei|CSKT01000024|c1,-1
Burkholderia pseudomallei 7894|CP009536|c6,-1
Burkholderia pseudomallei|CGHC01000019|c1,-1
Burkholderia mallei|JPGO01000137|c1,-1
Burkholderia pseudomallei|CHFE01000026|c1,-1
Burkholderia pseudomallei|CSJU01000022|c1,-1
Burkholderia mallei|JNUY01000203|c1,-1
Burkholderia pseudomallei MSHR62|CP009234|c4,-1
Burkholderia pseudomallei 1258a|AHJB01000187|c1,-1
Burkholderia thailandensis MSMB121|CP004096|c3,-1
Burkholderia pseudomallei|CSKC01000022|c1,-1
Burkholderia pseudomallei|CGHG01000024|c1,-1
Burkholderia pseudomallei|CSLA01000021|c1,-1
Burkholderia pseudomallei|CFYP01000023|c1,-1
Burkholderia mallei|JPNX02000001|c6,-1
Burkholderia pseudomallei|CFVQ01000023|c1,-1
Burkholderia pseudomallei|CIKM01000005|c3,-1
Burkholderia pseudomallei MSHR4462|JPQM01000003|c2,-1
Burkholderia pseudomallei MSHR5848|CP008910|c8,-1
Burkholderia pseudomallei MSHR543|JPZX01000013|c1,-1
Burkholderia pseudomallei|CSKW01000019|c1,-1
Burkholderia pseudomallei|CFXG01000021|c1,-1
Burkholderia pseudomallei|CIGS01000020|c1,-1
Burkholderia pseudomallei|CWJD01000018|c1,-1
Burkholderia pseudomallei MSHR5613|JQDK01000077|c1,-1
Burkholderia pseudomallei|JOTV01000069|c2,-1
Burkholderia pseudomallei|CSQB01000023|c1,-1
Burkholderia pseudomallei NAU20B-16|CP004004|c13,-1
Burkholderia pseudomallei MSHR435|JRFP01000045|c1,-1
Burkholderia pseudomallei|CSLS01000022|c1,-1
Burkholderia pseudomallei|JPHB01000021|c2,-1
Burkholderia pseudomallei|CSRL01000023|c1,-1
Burkholderia pseudomallei ABCPW 91|JPUY01000004|c5,-1
Burkholderia pseudomallei|JYBJ01000026|c3,-1
Burkholderia pseudomallei MSHR5608|JPWQ01000080|c1,-1
Burkholderia mallei|CP009588|c11,-1
Burkholderia pseudomallei|CFWL01000024|c1,-1
Burkholderia pseudomallei|CSOW01000003|c3,-1
Burkholderia pseudomallei MSHR684|JQDC01000005|c6,-1
Burkholderia pseudomallei|CFZL01000023|c1,-1
Burkholderia pseudomallei|CSNO01000022|c1,-1
Burkholderia pseudomallei|JOTS01000016|c2,-1
Burkholderia pseudomallei MSHR640|JQFP01000041|c2,-1
Burkholderia pseudomallei|CHFD01000021|c1,-1
Burkholderia pseudomallei|CIBB01000002|c1,-1
Burkholderia pseudomallei|CSKD01000019|c1,-1
Burkholderia pseudomallei|CGFU01000024|c1,-1
Burkholderia pseudomallei|CP008754|c10,-1
Burkholderia pseudomallei|JOTT01000049|c3,-1
Burkholderia pseudomallei MSHR3458|JQOB01000006|c5,-1
Burkholderia pseudomallei|CSKU01000022|c1,-1
Burkholderia pseudomallei|CSNB01000002|c1,-1
Burkholderia pseudomallei|CIBE01000026|c1,-1
Burkholderia pseudomallei MSHR1079|APNS01000004|c4,-1
Burkholderia pseudomallei|CSSE01000023|c1,-1
Burkholderia pseudomallei MSHR4375|JPVI01000008|c1,-1
Burkholderia pseudomallei|CSKX01000018|c1,-1
Burkholderia pseudomallei MSHR338|ATJY01000041|c1,-1
Burkholderia pseudomallei|CFVY01000001|c3,-1
Burkholderia pseudomallei|CSNM01000023|c1,-1
Burkholderia pseudomallei MSHR5855|CP008783|c5,-1
Burkholderia pseudomallei TSV5|JQGY01000058|c1,-1
Burkholderia pseudomallei MSHR4300|JPQI01000001|c6,-1
Burkholderia pseudomallei|CP008835|c10,-1
Burkholderia pseudomallei|CSLE01000019|c1,-1
Burkholderia pseudomallei|CFVZ01000021|c1,-1
Burkholderia pseudomallei|CIJT01000024|c1,-1
Burkholderia thailandensis 2002721723|CP004098|c11,-1
Burkholderia pseudomallei|CSKG01000024|c1,-1
Burkholderia pseudomallei|CFVP01000023|c1,-1
Burkholderia pseudomallei|CIAW01000021|c1,-1
Burkholderia pseudomallei MSHR733|JQEE01000021|c1,-1
Burkholderia pseudomallei|JNOW01000071|c2,-1
Burkholderia pseudomallei|CSPX01000022|c1,-1
Burkholderia pseudomallei MSHR449|JQFO01000048|c1,-1
Burkholderia pseudomallei 1710a|CM000833|c13,-1
Burkholderia pseudomallei|CSKS01000021|c1,-1
Burkholderia pseudomallei|CGFR01000002|c1,-1
Burkholderia mallei|CP009147|c12,-1
Burkholderia pseudomallei|CIHR01000005|c1,-1
Burkholderia pseudomallei|CP012577|c3,-1
Burkholderia pseudomallei MSHR4012|JPVH01000008|c5,-1
Burkholderia pseudomallei|CSSB01000005|c3,-1
Burkholderia pseudomallei|CSKV01000019|c1,-1
Burkholderia mallei|CP009708|c6,-1
Burkholderia pseudomallei|CSRV01000004|c1,-1
Burkholderia pseudomallei|CGHT01000004|c1,-1
Burkholderia pseudomallei|CFVV01000020|c1,-1
Burkholderia pseudomallei|JOUA01000008|c4,-1
Burkholderia pseudomallei|CSRJ01000005|c3,-1
Burkholderia pseudomallei|CFXD01000024|c1,-1
Burkholderia pseudomallei|CFVW01000022|c1,-1
Burkholderia pseudomallei|CFVX01000021|c1,-1
Burkholderia pseudomallei|CP008917|c11,-1
Burkholderia pseudomallei|CFXB01000006|c1,-1
Burkholderia thailandensis USAMRU Malaysia #20|CP004384|c7,-1
Burkholderia pseudomallei MSHR840|CP009473|c8,-1
Burkholderia pseudomallei|CWJA01000021|c1,-1
Burkholderia pseudomallei 1026b|CP004380|c10,-1
Burkholderia pseudomallei MSHR4308|JPVB01000003|c6,-1
Burkholderia pseudomallei MSHR1357|JQDA01000034|c3,-1
Burkholderia pseudomallei A79C|JQHQ01000119|c1,-1
Burkholderia pseudomallei MSHR303|JQDD01000011|c4,-1
Burkholderia pseudomallei|CGEY01000002|c3,-1
Burkholderia pseudomallei MSHR2543|CP009477|c4,-1
Burkholderia pseudomallei 576|ACCE01000006|c1,-1
Burkholderia pseudomallei|CHFC01000020|c1,-1
Burkholderia pseudomallei ABCPW 107|JQDN01000072|c1,-1
Burkholderia pseudomallei|CFVI01000020|c1,-1
Burkholderia pseudomallei|CGHB01000023|c1,-1
Burkholderia pseudomallei TSV 25|JPVK01000015|c6,-1
Burkholderia pseudomallei|JQIK01000004|c4,-1
Burkholderia pseudomallei|CP008782|c10,-1
Burkholderia pseudomallei MSHR520|CP004369|c9,-1
Burkholderia pseudomallei|CIJQ01000005|c3,-1
Burkholderia pseudomallei|CIAV01000019|c1,-1
Burkholderia mallei|JPGF01000203|c1,-1
Burkholderia pseudomallei|CFZT01000002|c4,-1
Burkholderia pseudomallei|JPNW01000075|c1,-1
Burkholderia pseudomallei|CSKQ01000025|c1,-1
Burkholderia pseudomallei|CIBL01000023|c1,-1
Burkholderia pseudomallei|CSLG01000019|c1,-1
Burkholderia pseudomallei|CHKS01000018|c1,-1
Burkholderia pseudomallei|CIBF01000003|c1,-1
Burkholderia pseudomallei NCTC 13178|CP004002|c4,-1
Burkholderia pseudomallei|CSPA01000002|c4,-1
Burkholderia pseudomallei|CFVL01000024|c1,-1
Burkholderia pseudomallei|CSME01000022|c1,-1
Burkholderia pseudomallei|CSLU01000001|c1,-1
Burkholderia pseudomallei|CIAY01000020|c1,-1
Burkholderia pseudomallei|CWJE01000020|c1,-1
Burkholderia pseudomallei MSHR983|JQDI01000008|c5,-1
Burkholderia pseudomallei|CSLL01000025|c1,-1
Burkholderia pseudomallei ABCPW 30|JPVF01000008|c6,-1
Burkholderia pseudomallei|CSKM01000022|c1,-1
Burkholderia pseudomallei MSHR1153|CP009272|c11,-1
Burkholderia pseudomallei MSHR7504|JPWR01000058|c1,-1
Burkholderia pseudomallei|CIGK01000018|c1,-1
Burkholderia mallei|JPGH01000160|c1,-1
Burkholderia pseudomallei|CSKI01000024|c1,-1
Burkholderia pseudomallei|CIGP01000024|c1,-1
Burkholderia pseudomallei|CP009127|c6,-1
Burkholderia pseudomallei|JQII01000001|c7,-1
Burkholderia pseudomallei|CSLN01000025|c1,-1
Burkholderia pseudomallei MSHR491|CP009484|c4,-1
Burkholderia pseudomallei A79A|CP009164|c9,-1
Burkholderia pseudomallei|CGHK01000024|c1,-1
Burkholderia pseudomallei MSHR7343|JQDM01000096|c1,-1
Burkholderia mallei|JNLV01000184|c1,-1
Burkholderia pseudomallei NCTC 13179|CP003977|c10,-1
Burkholderia contaminans|CP009745|c6,-1
Burkholderia thailandensis MSMB59|CP004386|c9,-1
Burkholderia pseudomallei|CGFW01000024|c1,-1
Burkholderia mallei|CP008731|c6,-1
Burkholderia pseudomallei|CSSW01000021|c1,-1
Burkholderia pseudomallei|CGFK01000003|c2,-1
Burkholderia pseudomallei|CSLF01000022|c1,-1
Burkholderia thailandensis E254|CP004382|c7,-1
Burkholderia pseudomallei MSHR4299|JPVC01000007|c6,-1
Burkholderia pseudomallei|CSMO01000002|c1,-1
Burkholderia pseudomallei|CSMS01000022|c1,-1
Burkholderia pseudomallei|CSMH01000001|c5,-1
Burkholderia pseudomallei|CIAS01000020|c1,-1
Burkholderia pseudomallei|CWJF01000020|c1,-1
Burkholderia pseudomallei|CFWE01000020|c1,-1
Burkholderia pseudomallei HBPUB10303a|CP008893|c14,-1
Burkholderia pseudomallei|CSRH01000023|c1,-1
Burkholderia pseudomallei|CSQA01000003|c1,-1
Burkholderia thailandensis E264|CP008785|c4,-1
Burkholderia pseudomallei NAU35A-3|CP004378|c13,-1
Burkholderia pseudomallei|CFVT01000017|c1,-1
Burkholderia pseudomallei|CHKY01000004|c1,-1
Burkholderia pseudomallei|CSKN01000023|c1,-1
Burkholderia pseudomallei Pasteur 52237|CP009898|c3,-1
Burkholderia pseudomallei|CSKP01000018|c1,-1
Burkholderia pseudomallei MSHR5855|JMMV01000046|c1,-1
Burkholderia mallei|CP009643|c6,-1
Burkholderia pseudomallei|CGFL01000025|c1,-1
Burkholderia pseudomallei|CFVR01000023|c1,-1
Burkholderia pseudomallei|CGEX01000013|c1,-1
Burkholderia pseudomallei MSHR5492|JQDO01000052|c1,-1
Burkholderia pseudomallei|CFNN01000016|c1,-1
Burkholderia pseudomallei|CSNW01000005|c1,-1
Burkholderia pseudomallei|CSLH01000022|c1,-1
Burkholderia pseudomallei TSV 48|CP009160|c2,-1
Burkholderia pseudomallei BPC006|CP003782|c4,-1
Burkholderia pseudomallei|CSKZ01000005|c2,-1
Burkholderia pseudomallei|CP012516|c4,-1
Burkholderia pseudomallei|CSLD01000003|c3,-1
Burkholderia pseudomallei|CSLO01000020|c1,-1
Burkholderia pseudomallei|CSKE01000003|c1,-1
Burkholderia pseudomallei|CFWB01000029|c1,-1
Burkholderia pseudomallei|CP008759|c4,-1
Burkholderia pseudomallei|CP012518|c4,-1
Burkholderia pseudomallei|CGFC01000017|c1,-1
Burkholderia pseudomallei|CSKH01000018|c1,-1
Burkholderia pseudomallei|CFZI01000022|c1,-1
Burkholderia pseudomallei MSHR7334|JQDF01000080|c1,-1
Burkholderia pseudomallei MSHR3965|CP009152|c5,-1
Burkholderia sp MSHR3999|JRFO01000005|c1,-1
Burkholderia pseudomallei|CFWJ01000018|c1,-1
Burkholderia pseudomallei|CFVN01000006|c1,-1
Burkholderia pseudomallei MSHR511|CP004024|c14,-1
Burkholderia thailandensis Phuket 4W-1|AQQJ01000003|c7,-1
Burkholderia pseudomallei TSV28|JQHU01000025|c1,-1
Burkholderia pseudomallei|CSOX01000022|c1,-1
Burkholderia pseudomallei|JOTW01000050|c5,-1
Burkholderia pseudomallei MSHR3951|JPVA01000004|c2,-1
Burkholderia pseudomallei|CSKL01000023|c1,-1
Burkholderia pseudomallei BDU 2|JPVG01000006|c6,-1
Burkholderia pseudomallei|CSPL01000022|c1,-1
Burkholderia pseudomallei|CSKR01000019|c1,-1
Burkholderia pseudomallei|CP009156|c4,-1
Burkholderia pseudomallei TSV 43|JPQK01000002|c11,-1
Burkholderia pseudomallei|JQIL01000005|c6,-1
Burkholderia oklahomensis C6786|CP009556|c1,-1
Burkholderia pseudomallei ABCPW 1|JQIJ01000004|c10,-1
Burkholderia pseudomallei|CSKO01000021|c1,-1
Burkholderia pseudomallei|CFWF01000023|c1,-1
Burkholderia thailandensis 34|CP010018|c6,-1
Burkholderia pseudomallei|CSKY01000020|c1,-1
Burkholderia pseudomallei|JPNP01000093|c1,-1
Burkholderia pseudomallei|CSKB01000018|c1,-1
Burkholderia pseudomallei MSHR5569|JQDL01000049|c1,-1
Burkholderia pseudomallei|CGFD01000016|c1,-1
Burkholderia pseudomallei MSHR456|JQFN01000035|c1,-1
Burkholderia pseudomallei HBPUB10134a|CP008912|c11,-1
Burkholderia pseudomallei|CIJK01000021|c1,-1
Burkholderia pseudomallei MSHR4378|JQDP01000080|c1,-1
Burkholderia pseudomallei|CSLB01000002|c1,-1
Burkholderia pseudomallei MSHR2990|JQHV01000023|c1,-1
Burkholderia pseudomallei|CFVO01000003|c1,-1
Burkholderia pseudomallei|CSOU01000022|c1,-1
Burkholderia pseudomallei|CFKW01000023|c1,-1
Burkholderia pseudomallei|CHFB01000020|c1,-1
Burkholderia pseudomallei MSHR1029|JQDB01000017|c1,-1
Burkholderia pseudomallei|CP009546|c8,-1
Burkholderia pseudomallei 1106a|CP000573|c4,-1
Burkholderia mallei NCTC 10229|CP000545|c11,-1
Burkholderia pseudomallei|CSQF01000023|c1,-1
Burkholderia pseudomallei|CFNO01000020|c1,-1
Burkholderia pseudomallei|CGFE01000019|c1,-1
Burkholderia pseudomallei MSHR4304|JPOA01000002|c7,-1
Burkholderia pseudomallei MSHR5609|JQDJ01000071|c1,-1
Burkholderia pseudomallei|CGFB01000023|c1,-1
Burkholderia pseudomallei MSHR2451|JQEG01000044|c1,-1
Burkholderia pseudomallei MSHR7527|JPWS01000046|c1,-1
Burkholderia pseudomallei|CFXU01000006|c3,-1
Burkholderia pseudomallei|JOTU01000015|c4,-1
Burkholderia pseudomallei B03|CP009150|c3,-1
Burkholderia pseudomallei MSHR4868|JQGZ01000025|c1,-1
Burkholderia pseudomallei|CSOV01000004|c3,-1
Burkholderia thailandensis E264|CP000085|c10,-1
Pelosinus fermentans B4|AKVJ01000015|c1,1
Streptomyces bingchenggensis BCW-1|CP002047|c3,-1
Streptomyces cyaneogriseus subsp noncyanogenus|CP010849|c4,-1
Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1|ACNH01000168|c1,-1
Streptomyces sp NRRL S-4|LGKJ01000145|c1,1
Pelosinus fermentans JBW45|CP010978|c4,-1
Pelosinus fermentans A11|AKVM01000011|c1,1
Pelosinus fermentans DSM 17108|AKVN01000065|c2,1
Pelosinus fermentans B4|AKVJ01000002|c2,1
Candidatus Profftella armatura|CP003468|c1,-1
Candidatus Profftella armatura|CP012591|c1,-1
symbiont bacterium of Paederus fuscipes Bacteria|AY426537|c1,1
Paenibacillus polymyxa|JYCW01000006|c1,1
Xanthomonas axonopodis pv phaseoli|JSEZ02000003|c1,-1
Xanthomonas axonopodis pv phaseoli|JWTD02000065|c1,-1
Xanthomonas axonopodis pv phaseoli|JWTE02000034|c1,-1
Brevibacillus laterosporus PE36|AXBT01000013|c1,-1
Brevibacillus laterosporus GI-9|CAGD01000027|c1,-1
