,macrolactin,mupirocin,psymberin,bongkrekic_acid,diaphorin,dorrigocin_migrastatin,myxopyronin,virginiamycin,lankacidin,FR901464,rhizoxins,difficidin,tolytoxin,anthracimycin,albicidin,bryostatin,OUTGROUP_2hg4|chainA_EryKS5,sorangicin,tartrolon,calyculin,luminaolid,griseoviridin,enacyloxin,9-methylstreptimidone,misakinolide,chlorotonil,thiomarinol,thailanstatin,disorazole,basiliskamides,thailandamide,pederin,nosperin,SIA7248,cycloheximide,OUTGROUP_2qo3|chainA_EryKS3,kirromycin,myxovirescin,leinamycin,chivosazole,kalimantacin_batumin,phormidolide,bacillaene_Bsub,legioliulin,corallopyronin,onnamide,elansolid_Cpin,rhizopodin,oocydin_Smar,oxazolomycin,etnangien,malleilactone
rhizoxins,0.6956065841597715,0.694080805813408,0.6898453649675699,0.6916822481122983,0.6586725305435871,0.6921008658046996,0.6930593737250758,0.6934940721742131,0.6972929699498351,0.6902465628133245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
difficidin,0.6940755130480003,0.6961853287046873,0.6934940721742131,0.6896036337206295,0.6916822481122983,0.693532682229944,0.6934940721742131,0.6972929699498351,0.7006377647898823,0.6561200730790051,0.6885866916025731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tolytoxin,0.6919917552299188,0.6919917552299188,0.688854772914548,0.6902465628133245,0.6878915503919947,0.6925473794712566,0.6896474991784046,0.6925473794712566,0.694219828394149,0.6884205602069936,0.6874127920159802,0.6609945892325773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
anthracimycin,0.6929836886986376,0.7036924548344589,0.69828059396644,0.7006377647898823,0.6972929699498351,0.7020599104947127,0.6961853287046873,0.6990041413555677,0.6979870926218361,0.6964065663947401,0.6948809744532874,0.6972929699498351,0.6915619552477021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
albicidin,0.7176009911729295,0.7176009911729295,0.7055857873186165,0.710452026228493,0.7036924548344589,0.7136514186194016,0.7055857873186165,0.7136514186194016,0.7291258480350035,0.6990041413555677,0.6970300893497188,0.7001650254720008,0.694080805813408,0.7136514186194016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bryostatin,0.7006377647898823,0.6979649053674104,0.6453792138864698,0.6940755130480003,0.6494574292644775,0.6970300893497188,0.6964065663947401,0.6993878198996877,0.7036924548344589,0.5051310910334812,0.6901200730790051,0.6910062667975787,0.6890866016726291,0.6993878198996877,0.707807770789676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OUTGROUP_2hg4|chainA_EryKS5,0.7225990720799419,0.7225990720799419,0.7029380120966049,0.7064930723088361,0.7055857873186165,0.7176009911729295,0.707807770789676,0.7176009911729295,0.7380061590150457,0.7036924548344589,0.7006377647898823,0.7055857873186165,0.6964065663947401,0.7176009911729295,0.7707099806163874,0.710452026228493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sorangicin,0.69828059396644,0.6961853287046873,0.6921008658046996,0.6436452139666923,0.6904055718710518,0.6916350578235884,0.6948809744532874,0.6972929699498351,0.7006377647898823,0.6901200730790051,0.689581621452678,0.6520468645047974,0.6609945892325773,0.6972929699498351,0.7001650254720008,0.6910062667975787,0.7055857873186165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tartrolon,0.7001650254720008,0.7036924548344589,0.6961853287046873,0.7006377647898823,0.6972929699498351,0.7020599104947127,0.6961853287046873,0.6990041413555677,0.707807770789676,0.6930239445537323,0.6921008658046996,0.693532682229944,0.6925473794712566,0.7020599104947127,0.7136514186194016,0.6423461745821674,0.7176009911729295,0.6972929699498351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
calyculin,0.6930593737250758,0.6898453649675699,0.660063240687367,0.6597635581304415,0.6609945892325773,0.6905733726158743,0.6912268978008416,0.6915619552477021,0.694219828394149,0.6618474956197427,0.608172557368014,0.6878915503919947,0.6868394314629986,0.6925473794712566,0.694080805813408,0.6873759407860676,0.6964065663947401,0.6327484353864234,0.6905733726158743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
luminaolid,0.6924543740660734,0.6924543740660734,0.6890866016726291,0.6905733726158743,0.6880600218082049,0.6930593737250758,0.6899384186687438,0.6930593737250758,0.6948809744532874,0.6893724892419726,0.6882173134577771,0.6880600218082049,0.11359445122989542,0.6919917552299188,0.6964065663947401,0.6893287755217459,0.6972929699498351,0.6880600218082049,0.6930593737250758,0.6874865443260822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
griseoviridin,0.7036924548344589,0.7036924548344589,0.69828059396644,0.7006377647898823,0.6972929699498351,0.7020599104947127,0.69828059396644,0.0,0.7029380120966049,0.6964065663947401,0.6934940721742131,0.6972929699498351,0.6925473794712566,0.6990041413555677,0.7136514186194016,0.6993878198996877,0.7176009911729295,0.6972929699498351,0.6990041413555677,0.6915619552477021,0.6930593737250758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
enacyloxin,0.7136514186194016,0.7064930723088361,0.7001650254720008,0.7029380120966049,0.7020599104947127,0.710452026228493,0.7036924548344589,0.710452026228493,0.7225990720799419,0.7006377647898823,0.6961853287046873,0.7020599104947127,0.6934940721742131,0.710452026228493,0.7380061590150457,0.7055857873186165,0.7176009911729295,0.7020599104947127,0.710452026228493,0.6948809744532874,0.694080805813408,0.710452026228493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9-methylstreptimidone,0.707807770789676,0.7029380120966049,0.7006377647898823,0.7001650254720008,0.6993878198996877,0.6088581670863913,0.7006377647898823,0.7055857873186165,0.7136514186194016,0.6940755130480003,0.6947199405340547,0.6970300893497188,0.693614922218118,0.7055857873186165,0.7225990720799419,0.6990041413555677,0.7291258480350035,0.6946538668898596,0.7055857873186165,0.6924543740660734,0.694219828394149,0.7055857873186165,0.7176009911729295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
misakinolide,0.6909204232828641,0.6919917552299188,0.6880600218082049,0.6902465628133245,0.6878915503919947,0.6925473794712566,0.6904382057586065,0.6925473794712566,0.694219828394149,0.6884205602069936,0.6633533976621846,0.6617377042381485,0.3981447240789623,0.689581621452678,0.694080805813408,0.6882324445214015,0.6964065663947401,0.6609945892325773,0.6915619552477021,0.686355785893362,0.4268233568759845,0.6925473794712566,0.6934940721742131,0.693614922218118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
chlorotonil,0.6927982587886472,0.7020599104947127,0.6972929699498351,0.6993878198996877,0.6964065663947401,0.7006377647898823,0.6954186289846114,0.6979649053674104,0.7014681726761128,0.6956065841597715,0.694219828394149,0.6964065663947401,0.6911616387707138,0.4802383482216974,0.710452026228493,0.69828059396644,0.7136514186194016,0.6964065663947401,0.7006377647898823,0.6920740114037577,0.6915619552477021,0.6979649053674104,0.707807770789676,0.7036924548344589,0.6893287755217459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
thiomarinol,0.7055857873186165,0.3929851512133753,0.6970300893497188,0.6959170312678201,0.6940755130480003,0.6929836886986376,0.6993878198996877,0.7036924548344589,0.710452026228493,0.6954186289846114,0.694080805813408,0.6940755130480003,0.6930593737250758,0.7036924548344589,0.7176009911729295,0.6979649053674104,0.7225990720799419,0.6940755130480003,0.7036924548344589,0.6563856149418161,0.693614922218118,0.7036924548344589,0.7136514186194016,0.7029380120966049,0.6930593737250758,0.7020599104947127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
thailanstatin,0.6972929699498351,0.6954186289846114,0.6904055718710518,0.694080805813408,0.6901200730790051,0.6930239445537323,0.694219828394149,0.6964065663947401,0.6993878198996877,0.0,0.6902465628133245,0.6561200730790051,0.6884205602069936,0.6964065663947401,0.6990041413555677,0.5051310910334812,0.7036924548344589,0.6901200730790051,0.6930239445537323,0.6618474956197427,0.6893724892419726,0.6964065663947401,0.7006377647898823,0.6940755130480003,0.6884205602069936,0.6956065841597715,0.6954186289846114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
disorazole,0.6990041413555677,0.7020599104947127,0.6954186289846114,0.6993878198996877,0.6964065663947401,0.7006377647898823,0.693532682229944,0.6952681812865013,0.7014681726761128,0.6956065841597715,0.6916822481122983,0.6947199405340547,0.6911616387707138,0.6386015146198346,0.710452026228493,0.6961853287046873,0.7136514186194016,0.6964065663947401,0.6952681812865013,0.6902465628133245,0.6915619552477021,0.6952681812865013,0.707807770789676,0.7036924548344589,0.6893287755217459,0.6423461745821674,0.7020599104947127,0.6956065841597715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
basiliskamides,0.7046027691562766,0.7046027691562766,0.6990041413555677,0.7014681726761128,0.6979649053674104,0.7029380120966049,0.7020599104947127,0.707807770789676,0.7176009911729295,0.6970300893497188,0.6972929699498351,0.6358807128045899,0.694219828394149,0.707807770789676,0.7291258480350035,0.6965956033958567,0.7380061590150457,0.6979649053674104,0.7029380120966049,0.6916822481122983,0.6948809744532874,0.707807770789676,0.7225990720799419,0.7064930723088361,0.694219828394149,0.7055857873186165,0.7046027691562766,0.6970300893497188,0.7055857873186165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
thailandamide,0.6956065841597715,0.6925473794712566,0.6898453649675699,0.6533341355090696,0.6905733726158743,0.6921008658046996,0.6930593737250758,0.6948809744532874,0.6972929699498351,0.6588430514710966,0.688854772914548,0.6885866916025731,0.6868016735242536,0.6948809744532874,0.6970300893497188,0.6912894299035472,0.7006377647898823,0.687588572877469,0.6948809744532874,0.6633533976621846,0.6875677664288375,0.6948809744532874,0.69828059396644,0.6947199405340547,0.6868016735242536,0.694219828394149,0.6925473794712566,0.6588430514710966,0.694219828394149,0.6972929699498351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pederin,0.6964065663947401,0.6930239445537323,0.47289818391736393,0.6921008658046996,0.1144425176628151,0.694080805813408,0.693614922218118,0.6956065841597715,0.69828059396644,0.6885866916025731,0.6590426074527342,0.6898453649675699,0.68691686617741,0.6956065841597715,0.7006377647898823,0.6520468645047974,0.7020599104947127,0.6898453649675699,0.6956065841597715,0.6619788955985676,0.6870326808049279,0.6956065841597715,0.6970300893497188,0.6972929699498351,0.68691686617741,0.6948809744532874,0.6930239445537323,0.6885866916025731,0.6948809744532874,0.6961853287046873,0.6899384186687438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
nosperin,0.7020599104947127,0.6990041413555677,0.6443923501250007,0.6993878198996877,0.6453792138864698,0.7006377647898823,0.6972929699498351,0.7006377647898823,0.7055857873186165,0.6910062667975787,0.6916822481122983,0.6964065663947401,0.6911616387707138,0.7006377647898823,0.710452026228493,0.6919510459523746,0.7136514186194016,0.6964065663947401,0.6979649053674104,0.589416208044161,0.6915619552477021,0.7006377647898823,0.707807770789676,0.7036924548344589,0.6911616387707138,0.6993878198996877,0.6990041413555677,0.6910062667975787,0.6993878198996877,0.7014681726761128,0.6916822481122983,0.6501053571748358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SIA7248,0.7006377647898823,0.7006377647898823,0.691318526397686,0.6412403971006853,0.694080805813408,0.6993878198996877,0.6964065663947401,0.6993878198996877,0.7036924548344589,0.6934940721742131,0.6924543740660734,0.694080805813408,0.6907879019211254,0.6993878198996877,0.707807770789676,0.693532682229944,0.7046027691562766,0.6910062667975787,0.6970300893497188,0.6907879019211254,0.6911616387707138,0.6993878198996877,0.7014681726761128,0.7020599104947127,0.6907879019211254,0.69828059396644,0.7006377647898823,0.6934940721742131,0.69828059396644,0.7036924548344589,0.6537680545221237,0.6929536597167267,0.69828059396644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cycloheximide,0.707807770789676,0.7029380120966049,0.7006377647898823,0.7001650254720008,0.6993878198996877,0.6088581670863913,0.7006377647898823,0.7055857873186165,0.7136514186194016,0.6940755130480003,0.6947199405340547,0.6970300893497188,0.693614922218118,0.7055857873186165,0.7225990720799419,0.6990041413555677,0.7291258480350035,0.6946538668898596,0.7055857873186165,0.6924543740660734,0.694219828394149,0.7055857873186165,0.7176009911729295,0.0,0.693614922218118,0.7036924548344589,0.7029380120966049,0.6940755130480003,0.7036924548344589,0.7064930723088361,0.6947199405340547,0.6972929699498351,0.7036924548344589,0.7020599104947127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OUTGROUP_2qo3|chainA_EryKS3,0.7225990720799419,0.7225990720799419,0.7029380120966049,0.7064930723088361,0.7055857873186165,0.7176009911729295,0.707807770789676,0.7176009911729295,0.7380061590150457,0.7036924548344589,0.7006377647898823,0.7055857873186165,0.6964065663947401,0.7176009911729295,0.7707099806163874,0.710452026228493,0.6799999999999999,0.7055857873186165,0.7176009911729295,0.6964065663947401,0.6972929699498351,0.7176009911729295,0.7176009911729295,0.7291258480350035,0.6964065663947401,0.7136514186194016,0.7225990720799419,0.7036924548344589,0.7136514186194016,0.7380061590150457,0.7006377647898823,0.7020599104947127,0.7136514186194016,0.7046027691562766,0.7291258480350035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
kirromycin,0.6972929699498351,0.7055857873186165,0.6970300893497188,0.7020599104947127,0.69828059396644,0.7036924548344589,0.6993878198996877,0.6965956033958567,0.7046027691562766,0.6972929699498351,0.694080805813408,0.6961853287046873,0.6930593737250758,0.6285956033958567,0.7176009911729295,0.6979649053674104,0.7225990720799419,0.69828059396644,0.6965956033958567,0.6919917552299188,0.693614922218118,0.6965956033958567,0.7136514186194016,0.707807770789676,0.6585394709019117,0.6340988494496382,0.7055857873186165,0.6972929699498351,0.6959170312678201,0.7046027691562766,0.6956065841597715,0.6964065663947401,0.7020599104947127,0.7006377647898823,0.707807770789676,0.7225990720799419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
myxovirescin,0.7006377647898823,0.6925473794712566,0.6471036337206295,0.6433796173809461,0.6494574292644775,0.6946538668898596,0.6964065663947401,0.6993878198996877,0.7036924548344589,0.6529235489120622,0.6912894299035472,0.6925473794712566,0.6916350578235884,0.6993878198996877,0.707807770789676,0.6463017244902551,0.710452026228493,0.6494574292644775,0.6970300893497188,0.6573225344254139,0.6920740114037577,0.6993878198996877,0.7055857873186165,0.6990041413555677,0.6907879019211254,0.69828059396644,0.6898022849433274,0.6529235489120622,0.6961853287046873,0.7001650254720008,0.6901200730790051,0.6533341355090696,0.6433796173809461,0.693532682229944,0.6990041413555677,0.710452026228493,0.6979649053674104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
leinamycin,0.7014681726761128,0.7055857873186165,0.6993878198996877,0.7020599104947127,0.69828059396644,0.7036924548344589,0.6946538668898596,0.6965956033958567,0.6925473794712566,0.6972929699498351,0.694080805813408,0.6961853287046873,0.6919917552299188,0.6965956033958567,0.7176009911729295,0.7006377647898823,0.7225990720799419,0.69828059396644,0.7001650254720008,0.6919917552299188,0.6924543740660734,0.6965956033958567,0.7136514186194016,0.707807770789676,0.6930593737250758,0.6990041413555677,0.7055857873186165,0.6972929699498351,0.6959170312678201,0.7046027691562766,0.6956065841597715,0.6964065663947401,0.7020599104947127,0.7006377647898823,0.707807770789676,0.7225990720799419,0.6972929699498351,0.7006377647898823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
chivosazole,0.693532682229944,0.6972929699498351,0.6929536597167267,0.6956065841597715,0.693614922218118,0.6964065663947401,0.6929536597167267,0.6930239445537323,0.6946538668898596,0.6930593737250758,0.6893287755217459,0.6924543740660734,0.6884205602069936,0.648818526397686,0.7020599104947127,0.6934940721742131,0.7036924548344589,0.693614922218118,0.6930239445537323,0.6632353750218084,0.6886329002796185,0.6930239445537323,0.7006377647898823,0.69828059396644,0.6618474956197427,0.6494574292644775,0.6972929699498351,0.6930593737250758,0.6479008281509335,0.6970300893497188,0.6920740114037577,0.6925473794712566,0.6956065841597715,0.6948809744532874,0.69828059396644,0.7036924548344589,0.5925828263154769,0.6934940721742131,0.6897256834583341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
kalimantacin_batumin,0.7020599104947127,0.7020599104947127,0.6897256834583341,0.6946538668898596,0.6896036337206295,0.6979649053674104,0.6972929699498351,0.7006377647898823,0.7055857873186165,0.694080805813408,0.6904055718710518,0.5989369670539628,0.6902465628133245,0.7006377647898823,0.710452026228493,0.6898118256721137,0.7136514186194016,0.691318526397686,0.6979649053674104,0.6893287755217459,0.6905733726158743,0.7006377647898823,0.707807770789676,0.7036924548344589,0.6893287755217459,0.6993878198996877,0.6990041413555677,0.694080805813408,0.6970300893497188,0.6972929699498351,0.6904055718710518,0.6892954260444772,0.6946538668898596,0.6940755130480003,0.7036924548344589,0.7136514186194016,0.6990041413555677,0.6898118256721137,0.7020599104947127,0.694080805813408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
phormidolide,0.6956065841597715,0.694080805813408,0.6542167495930508,0.6546160981868412,0.6556781641475303,0.6934940721742131,0.6930593737250758,0.6948809744532874,0.6972929699498351,0.6884082688624009,0.6297977577001479,0.6885866916025731,0.68802271808176,0.6948809744532874,0.6993878198996877,0.6877680545221236,0.7006377647898823,0.6576776006934821,0.6934940721742131,0.6106338047197921,0.6882173134577771,0.6948809744532874,0.69828059396644,0.6964065663947401,0.6874127920159802,0.694219828394149,0.6925473794712566,0.6884082688624009,0.6929536597167267,0.6954186289846114,0.6896474991784046,0.6573225344254139,0.6916822481122983,0.6912894299035472,0.6964065663947401,0.7006377647898823,0.694080805813408,0.6537680545221237,0.6956065841597715,0.6911616387707138,0.6520468645047974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
